Software;Platform;License;Latest version;Last release year;Size (MB)[a];Description;Number[b];Supported metadata standards[c];Supported file formats[d];
EXIF;GPS;IPTC;XMP;Maker;Other;JPEG;TIFF;Raw;Other;
irfanview[34];Windows;Freeware for non-commercial use;4.51;2018;3.36;Image viewer that also supports viewing image metadata;?;R;;R;;;;Yes;Yes;Yes;Yes;
iTag[35];Windows;Shareware;500;2015;9.1;A tool that adds title, description and keyword tags to photos.;10;-;-;REW;REW;-;-;Yes;Yes;Yes;Yes;
JabRef;Java;GPL;?;?;?;Reference management software that uses BibTeX.;?;?;?;?;RDEW;?;?;?;?;?;PDF;
JExifViewer[36];Linux, Windows;GPL;1.8;2010;5.3;View EXIF information stored in JPEG files.;N/A;R;R;-;-;-;-;Yes;-;-;-;
JPEG & PNG Stripper[37];Windows;Freeware;1.5.4;2012;0.1;A tool for stripping/cleaning/removing unnecessary metadata.;N/A;D;D;D;D;D;D;Yes;-;-;Yes;
JPEG Comment Editor[38];Windows;Freeware and Shareware;1.0;2015;1.0;Software for creating, viewing, editing, and saving metadata as text file for your photos.;?;-;-;-;-;-;-;Yes;-;-;-;
Metadata++[39];Windows;Freeware;1.11.4;2018;1.2;Edit, modify, add, delete any metadata from audio, video, photo, text...;>200;RDEW;RDEW;RDEW;RDEW;RDEW;RDEW;Yes;Yes;Yes;Yes;
MAT[40];Linux MacOS;GPLv2;0.5.2;2014;3.1;Toolbox composed of a GUI application, a CLI application and a library, to anonymize/remove metadata;N/A;D;D;D;D;D;D;Yes;Yes;Yes;Yes;
MetadataFox[41];Windows;Shareware;1.1;2010;0.4;A tool to explore files by their XMP metadata.;N/A;-;-;-;R;-;-;Yes;-;-;Yes;
MetadataTouch[42];Windows;Shareware;5.2;2011;0.6;A tool to view and edit IPTC and XMP metadata.;70;-;-;EW;EW;-;-;Yes;-;-;Yes;
MetaEditor;Windows;Freeware;3.3.0.0;2014;7.1;Allows you read and edit metadata within your digital photos.;>200;REW;REW;REW;REW;-;-;Yes;Yes;-;-;
MetaLith[43];Windows;Freeware;10.00;2018;16;Allows you read, analyze and edit metadata. The main feature of the program is the ability to simultaneously edit any number of files.;>200;REW;REW;REW;REW;-;R;Yes;Yes;Yes;Yes;
Opanda PowerExif[44];Windows;Shareware;1.22;2013;1.6;A powerful GUI tool with batch processing to edit EXIF/GPS data and completely remove all data (include EXIF) in images.;>130;REW;REW;-;-;-;-;Yes;Yes;-;-;
PhotoME[45];Windows;Freeware;0.8ß2;2009;3.1;Show and edit the metadata of image files, analyze and modify EXIF and IPTC-NAA data, and analyze ICC profiles.;>200;REW;REW;RE;-;REW;R;Yes;Yes;Yes;Yes;
QuickImageComment[46];Windows;GPLv3;4.31;2018;15.8;Windows GUI to show images and edit meta data (using exiv2 library); GPS data can be shown and modified on a map; optimised to edit comments.;>200;REW;REW;REW;REW;REW;-;Yes;Yes;Yes;-;
VRmeta[47];Linux, MacOS, Windows;Paid subscription;1.0;2018;11.9;Add .xmp metadata, embed in-frame time-based metadata, export as .csv or .xmp, embed IPTC keywords and captions.;>unlimited;REW;REW;REW;REW;?;?;?;?;?;?;
XnView[48];Linux, MacOS, Windows;Freeware (for private and educational use);2.45;2018;4.6 to 14.6;Picture viewer, editor with slide show, scan module, add ons;>31;RD;?;RDEW;DEW[e];?;R;Yes;Yes;Yes;Yes;
