Vehicle;Origin;Manufacturer;Payload mass to … (kg);Launches[a];Date of flight;
LEO;GTO;Other;First[b];Latest;
Falcon Heavy (expended); United States;SpaceX;7004638000000000000?63,800[43];7004150000000000000?15,000+[44];7004168000000000000?16,800 to TMI;5000000000000000000?0;;;
GSLV Mk II; India;ISRO;7003500000000000000?5,000[54];7003270000000000000?2,700[55][n];;7000600000000000000?6[56];2010;2018;
GSLV Mk III; India;ISRO;7003800000000000000?8,000[57];7003400000000000000?4,000;;7000200000000000000?2[58];2017[o];2018;
H-IIA 202; Japan;Mitsubishi;7003800000000000000?8,000[60]:67;7003400000000000000?4,000[60]:48;7003510000000000000?5,100 to SSO[p] [60]:64–65;7001260000000000000?26[61];2001;2018;
H-IIA 204; Japan;Mitsubishi;;7003595000000000000?5,950[60]:48;;7000400000000000000?4[61];2006;2017;
H-IIB; Japan;Mitsubishi;7004165000000000000?16,500 (ISS)[62];7003800000000000000?8,000;;7000700000000000000?7[63];2009;2018;
H3; Japan;Mitsubishi;;7003650000000000000?6,500[62];7003400000000000000?4,000 to SSO[64];5000000000000000000?0;2020[64][65];;
Hyperbola-1; China;i-Space;7002300000000000000?300[66];;;5000000000000000000?0;2019[66][q];;
Hyperbola-3; China;i-Space;7003200000000000000?2,000[66];;;5000000000000000000?0;2021[66];;
Kuaizhou 1/1A; China;ExPace;7002400000000000000?400[67];;;7000400000000000000?4[67];2013;2018;
Kuaizhou 11; China;ExPace;7003150000000000000?1,500[68];;7003100000000000000?1,000 to SSO[69];5000000000000000000?0;2019[70];;
Kuaizhou 21; China;ExPace;7004200000000000000?20,000[71];;;5000000000000000000?0;2025[69];;
KSLV-2; South Korea;KARI;7003150000000000000?1,500 at 600–800 km[72];;;5000000000000000000?0;2021[72][r];;
LauncherOne; United States;Virgin Orbit;7002500000000000000?500[73];;7002300000000000000?300 to SSO[74];5000000000000000000?0;2019[75];;
Long March 2C; China;CALT;7003385000000000000?3,850 [citation needed];7003125000000000000?1,250 with CTS2;7003200000000000000?2,000 to SSO with YZ-1S[76];7001560000000000000?56[77];1982;2018;
Long March 2D; China;SAST;7003400000000000000?4,000;;7003115000000000000?1,150 to SSO;7001410000000000000?41[77];1992;2018;
Long March 2F; China;CALT;7003860000000000000?8,600;;;7001130000000000000?13[77];1999;2016;
Long March 3A; China;CALT;7003600000000000000?6,000[78];7003260000000000000?2,600;7003500000000000000?5,000 to SSO;7001270000000000000?27[79];1994;2018;
Long March 3B/E; China;CALT;7004115000000000000?11,500[78];7003550000000000000?5,500;7003690000000000000?6,900 to SSO;7001400000000000000?40[79];2007;2018;
Long March 3C; China;CALT;7003910000000000000?9,100[78];7003380000000000000?3,800;7003650000000000000?6,500 to SSO;7001150000000000000?15[79];2008;2016;
Long March 4B; China;SAST;7003420000000000000?4,200[80];7003150000000000000?1,500;7003280000000000000?2,800 to SSO;7001310000000000000?31[80];1999;2018;
Long March 4C; China;SAST;7003420000000000000?4,200[81];7003150000000000000?1,500;7003280000000000000?2,800 to SSO;7001250000000000000?25[81];2006;2018;
Long March 5; China;CALT;7004250000000000000?25,000[82];7004140000000000000?14,000;7004150000000000000?15,000 to SSO[83] 7003820000000000000?8,200 to TLI[84] 7003500000000000000?5,000 to TMI[84];7000200000000000000?2[85];2016;2017;
Long March 6; China;SAST;;;7003108000000000000?1,080 to SSO[86];7000200000000000000?2[87];2015;2017;
Long March 7; China;CALT;7004135000000000000?13,500[88];;7003550000000000000?5,500 to SSO;7000200000000000000?2;2016[89];2017;
Long March 8 (partially reusable)[90]; China;CALT;7003760000000000000?7,600[91];7003250000000000000?2,500;7003450000000000000?4,500 to SSO;5000000000000000000?0;2021[90];;
Long March 9[92]; China;CALT;7005140000000000000?140,000[93];7004660000000000000?66,000[94];7004500000000000000?50,000 to TLI[93] 7004440000000000000?44,000 to TMI[90];5000000000000000000?0;2028[95]–2030[90];;
Long March 11; China;CALT;7002700000000000000?700[96];;7002350000000000000?350 to SSO;7000400000000000000?4[97];2015;2018;
Minotaur I; United States;NG Innovation;7002580000000000000?580[98];;;7001100000000000000?10[99];2000;2013;
Minotaur IV; United States;NG Innovation;7003173500000000000?1,735[100];;;7000400000000000000?4[101];2010;2017;
Minotaur V; United States;NG Innovation;;7002670000000000000?670[101];7002465000000000000?465 to HCO;7000100000000000000?1[101];2013;2013;
Minotaur-C (Taurus)[102]; United States;NG Innovation;7003145800000000000?1,458[103];;7003105400000000000?1,054 to SSO[s];7001100000000000000?10[104];1994;2017;
Miura 5; Spain;PLD Space;7002300000000000000?300[105];;;0;2021[105];;
New Glenn; United States;Blue Origin;7004450000000000000?45,000[106];7004130000000000000?13,000;;5000000000000000000?0;2021[107];;
