Client;Message file format;Encrypted database;Virtual folders;Scheduled backup;New mail notification;Customizable interface;Customizable keybindings;Fragmented messages [Note 1];Database search with regular expressions support;Indexed search;Search folders [Note 2];IMAP;
ticker;tray icon;tooltip;sound;Search;IDLE;
Alpine;mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile;?;Yes;Partial;?;?;?;Yes;Yes;No;?;No;Yes;Yes;Yes;No;
Becky! Internet Mail;mbox;?;?;No;Yes;?;Yes;Yes;?;?;?;Yes;?;Yes;Yes;Yes;
Citadel;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Claws Mail;MH, mbox (plugin);No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;No;Yes;No;
Cone;mbox, maildir;No;No;No;No;?;?;?;Yes (colors);No;No;No;No;Yes;Yes;Yes;
Courier;Proprietary;Yes (weak);Yes;?;?;?;?;?;Yes (layout);No;?;No;No;Yes;No;Yes;
Elm;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
eM Client;Proprietary (sqlite);Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;Yes;No;Yes;
EmailTray;Proprietary;Yes;Yes;No;Yes;Yes;No;Yes;No;No;No;No;Yes;Yes;?;?;
Eudora;modified mbox;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes[specify];Yes;Yes;Yes;?;
Eureka Email;Proprietary;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Evolution;maildir, mbox, MH;No;Yes;No;No;Yes;Yes;Yes;Partial;Yes [Note 3];Yes;Yes;Yes;Yes;Yes;Yes;
Gnus;babyl, maildir, mbox, MMDF, news, rnews, SOUP, outlook, oe-dbx;No;Yes;No;No;?;?;?;Yes;Yes;Yes;Yes;Yes[Note 4];Yes;Yes;?;
GroupWise;Proprietary;Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;?;?;?;Yes;Yes;Yes;No;
Hiri;Proprietary;No;No;No;No;No;No;No;Yes;No;No;No;Yes;Yes;No;No;
IBM Notes;Proprietary;Yes [8];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes [Note 5];No;Yes;Yes;?;No;
KMail;mbox, maildir;No;Yes;No;?;?;?;?;Yes;Yes;No;Yes;?;Yes;Yes;Yes;
Mailbird;Proprietary;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Partial;Yes;Yes;Yes;
Mailpile;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Microsoft Entourage;Proprietary (Personal Storage Table);?;Yes;Partial [Note 6];?;?;?;?;Partial;No;No;Partial [Note 7];Yes;Yes;Yes;Yes;
Microsoft Office Outlook;Proprietary (Personal Storage Table);Yes;Yes;Yes;?;Yes;Yes;Yes;Yes;Yes;?;?;Yes [Note 8];Yes;Yes;Yes;
Mozilla Mail & Newsgroups;mbox;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Mozilla Thunderbird;mbox;No;Yes;?;?;Yes;Yes;Yes;Yes [Note 9];?;No;?;Yes (as of 3.0);Yes;Yes;Yes;
Mulberry;mbox [Note 10];Partial [Note 11];Partial [Note 11];Partial [Note 11];?;?;?;?;Yes;?;?;Yes[specify];Partial [Note 11];No;Yes;No;
Mutt;mbox, MMDF, MH, maildir;Yes (with compressed folders patch [9]);? (has limit command);No;?;?;?;?;Yes;Yes;?;Yes;Yes[Note 12];Yes[Note 12];Yes;Yes;
Netscape Messenger;mbox;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Netscape Messenger 9;mbox;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
nmh / MH;MH;No;Yes;No;No;?;?;?;Yes;Yes;?;Yes;Yes;Yes;No;?;
Opera Mail;mbox, MH, Proprietary;No;Yes (all folders are virtual);No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;?;Yes;
Outlook Express;Proprietary;No;No;No;?;Yes;No;Yes;No;No;Yes;?;No;?;?;Yes;
Pegasus Mail;Proprietary (mbox-like);No;Yes;No;?;Yes;Yes;Yes;Yes;?;?;Yes;?;Yes;Yes;No[83];
Pine;mbox, mbx, MIX, maildir (with patches), MMDF, tenex, mtx, MH, mx, news, phile;?;?;?;?;?;?;?;?;?;?;?;?;?;?;No;
Pocomail;mbox;Yes;Yes;Yes;?;?;?;?;Yes;?;?;Yes;Yes;Yes;?;?;
RoundCube;[IMAP Server];?;?;?;Yes;No;No;Yes;Yes;Yes;?;?;?;Yes;Yes;?;
i.Scribe / InScribe;Proprietary (sqlite);No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;Yes;
SeaMonkey Mail & Newsgroups;mbox;?;?;?;Yes;Yes;Yes;Yes;?;?;?;?;?;?;Yes;Yes;
SquirrelMail;[IMAP Server];?;?;?;Yes;No;No;Yes;Yes;Yes;?;?;?;Yes;Yes;?;
Sylpheed;MH;No;Yes;No;?;Yes;?;?;Yes;Yes;No;No [Note 13];No [Note 13];Yes;?;No;
The Bat!;Proprietary;Yes (AES 128 bit) (with Pro and Voyager version) [Note 14];Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes (PCRE 6.2);No;Yes;Yes;Yes;
Trojitá;IMAP;No;No;No;No;Yes;No;No;Yes;Yes;No;No;Yes;No;Yes;Yes;
Turnpike;Proprietary;Yes;Yes;?;?;?;?;?;?;?;Yes;?;?;Yes;?;?;
Windows Live Mail;File System (.eml);No;No;No;No;Yes;?;Yes;Yes;No;Yes;No;Yes;Yes;?;?;
Windows Mail;?;?;?;?;?;?;?;Yes;?;?;?;?;?;?;?;Yes;
YAM;mbox, maildir, oe-dbx;No;No;No;?;?;Yes;Yes;Yes;No;No;No;No;No;No;No;
Zimbra;File system;No;Yes;Yes;?;?;?;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Client;Message file format;Encrypted database;Virtual folders;Scheduled backup;New mail notification;Customizable interface;Customizable keybindings;Fragmented messages [Note 1];Database search with regular expressions support;Indexed search;Search folders [Note 2];IMAP;
ticker;tray icon;tooltip;sound;Search;IDLE;
