Vehicle;Origin;Manufacturer;Mass to … (kg);Launches (+ suborbital);Date of flight;
LEO;GTO;Other;First;Last;
Antares 110–130; United States;Orbital;7003510000000000000?5,100[6];;7003150000000000000?1,500 to SSO;7000500000000000000?5[6];2013;2014;
Ariane 1; Europe;Aérospatiale;7003140000000000000?1,400;7003183000000000000?1,830[179];;7001110000000000000?11[179];1979;1986;
Ariane 2; Europe;Aérospatiale;;7003227000000000000?2,270[179];;7000600000000000000?6[179];1986;1989;
Ariane 3; Europe;Aérospatiale;;7003265000000000000?2,650[179];;7001110000000000000?11[179];1984;1989;
Ariane 4 40; Europe;Aérospatiale;7003460000000000000?4,600[179];7003210500000000000?2,105;7003274000000000000?2,740 to SSO;7000700000000000000?7[179];1990;1999;
Ariane 4 42L; Europe;Aérospatiale;7003700000000000000?7,000[179];7003348000000000000?3,480;7003450000000000000?4,500 to SSO;7001130000000000000?13[179];1993;2002;
Ariane 4 42P; Europe;Aérospatiale;7003600000000000000?6,000[179];7003293000000000000?2,930;7003340000000000000?3,400 to SSO;7001150000000000000?15[179];1990;2002;
Ariane 4 44L; Europe;Aérospatiale;7003700000000000000?7,000[179];7003472000000000000?4,720;7003600000000000000?6,000 to SSO;7001400000000000000?40[179];1989;2003;
Ariane 4 44LP; Europe;Aérospatiale;7003700000000000000?7,000[179];7003422000000000000?4,220;7003500000000000000?5,000 to SSO;7001260000000000000?26[179];1988;2001;
Ariane 4 44P; Europe;Aérospatiale;7003650000000000000?6,500[179];7003346500000000000?3,465;7003410000000000000?4,100 to SSO;7001150000000000000?15[179];1991;2001;
Ariane 5 G; Europe;EADS Astrium;7004180000000000000?18,000[11];7003690000000000000?6,900[11];;7001160000000000000?16[11];1996;2003;
Ariane 5 G+; Europe;EADS Astrium;;7003710000000000000?7,100[11];;7000300000000000000?3[11];2004;2004;
Ariane 5 GS; Europe;EADS Astrium;7004160000000000000?16,000[180];7003660000000000000?6,600[11];;7000600000000000000?6[11];2005;2009[181];
Ariane 5 ES; Europe;EADS Astrium;7004210000000000000?21,000[8];7003800000000000000?8,000[11];;7000800000000000000?8[11];2008;2018;
ASLV; India;ISRO[182];7002150000000000000?150[183];;;7000400000000000000?4[183];1987;1994;
Athena I; United States;Lockheed Martin;7002795000000000000?795[184];7002515000000000000?515;;7000400000000000000?4[185];1995;2001;
Athena II; United States;Lockheed Martin;7003180000000000000?1,800[186];;;7000300000000000000?3[187];1998;1999[188];
