Rank;Country;U.S. equivalents;GDP (Billions of US$ in PPP);
1;China; United States;23,159.1;
2;India;California Texas New York New England Florida Ohio;9,459.0;
3;Japan;California Texas New York Florida;5,428.8;
4;Germany;California New England Indiana;4,170.8;
5;Russia;California New England Alabama;4,007.8;
6;Indonesia;California Michigan;3,243.8;
7;Brazil;California Michigan;3,240.3;
8;United Kingdom;California Utah;2,914.0;
9;France;California Hawaii;2,835.7;
10;Mexico;Texas Pennsylvania;2,458.4;
11;Italy;Texas New Jersey Vermont;2,310.9;
12;Turkey;Texas Michigan;2,173.2;
13;South Korea;Texas Colorado;2,029.0;
14;Spain;Texas West Virginia;1,773.9;
15;Saudi Arabia;Texas West Virginia;1,773.6;
16;Canada;Texas West Virginia;1,769.3;
17;Iran;New York New Mexico;1,644.7;
18;Australia;New England Utah;1,246.5;
19;Thailand;New England Nevada;1,233.7;
20;Egypt;New England Mississippi;1,201.2;
21;Taiwan;New England Hawaii;1,185.5;
22;Poland;New England Vermont;1,121.0;
23;Nigeria;New England Vermont;1,118.8;
24;Pakistan;New England;1,057.0;
25;Malaysia;Illinois Mississippi;930.8;
26;Argentina;Illinois New Mexico;920.3;
27;Netherlands;Illinois New Mexico;916.1;
28;Philippines;Illinois North Dakota;875,6;
29;South Africa;Ohio Mississippi;765.6;
30;Colombia;Ohio Maine;714.0;
31;Bangladesh;Ohio Wyoming;687.1;
32;UAE;Ohio Wyoming;686.8;
33;Iraq;Ohio;658.8;
34;Vietnam;New Jersey Wyoming;647.4;
35;Algeria;North Carolina;632.9;
36;Belgium;Massachusetts;528.5;
37;Singapore;Massachusetts;527.0;
38;Sweden;Virginia;520.9;
39;Switzerland;Virginia;517.2;
40;Romania;Maryland Hawaii;481.5;
41;Kazakhstan;Maryland New Hampshire;477.6;
42;Hong Kong;Maryland Maine;454.9;
—;Chile;Maryland Maine;451.1;
43;Austria;Maryland South Dakota;439.6;
44;Peru;Indiana Maine;424.4;
45;Venezuela;Indiana;380.7;
46;Norway;Indiana;380.0;
47;Czech Republic;Indiana;375.7;
48;Ukraine;Indiana;368.8;
49;Qatar;Tennessee;347.9;
50;Ireland;Colorado;343.7;
