IDE;License;Windows;Linux;macOS;Other platforms;
Eclipse JDT;EPL;Yes;Yes;Yes;FreeBSD, JVM, Solaris;
IntelliJ IDEA;ASLv2, proprietary;Yes;Yes;Yes;FreeBSD, OpenBSD, Solaris;
NetBeans;CDDL, GPL2;Yes;Yes;Yes;Solaris;
