;Toolkits or SDKs;Private messages;Private chat;Public chat;Message board;Encryption;File transfer;Unicode (UTF-8);Message filtration;Graphical smileys;Message logging;Whiteboard;Terminal Service Compatibility;User base in Active Directory;Serverless (No server required);
BeeBEEP;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;
Bit Chat;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;No;No;No;Yes;
BORGChat;No;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;No;No;No;Yes;
iChat 1;No;Yes;Yes;Yes;No;No;Yes;No;No;No;No;No;No;No;No;
iptux;No;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;Yes;
LinPopUp;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;
Miranda IM;?;Yes;?;?;?;?;Yes;Yes;?;Yes;Yes;?;?;?;Yes;
Qualia LAN Messenger;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;
Output Messenger;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;
