Color;(kg);(lb);
Blue;< 0.9 ;< 2.0 ;
Green;0.9 to 1.125 ;2 to 2.5 ;
Yellow;1.125 to 1.5 ;2.5 to 3.3 ;
Orange;> 1.5 ;> 3.3 ;
Grey;Variable;Variable;
White;Not Known;Not Known;
