BitTorrent client;Magnet URI;Preload Magnet metadata [Note 4];Super-seeding;Embedded tracker;UPnP [Note 5];NAT Port Mapping Protocol;NAT traversal [Note 6];DHT [Note 7];Peer exchange;Encryption;UDP tracker;LPD;Proxy server;
ABC;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;
Acquisition;No;No;No;No;No;Yes;No;No;No;No;No;No;No;
BitComet;Yes;No;Yes;Separate download;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;HTTP 1.1, SOCKS4-4a-5;
BitLet;No;No;No;No;Yes;No;No;No;No;No;No;No;No;
BitLord;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP 1.1, SOCKS4-4a-5;
BitTornado;No;No;Yes;Yes[Note 8];Yes;No;No;No;No;Yes;No;No;No;
BitTorrent 5, Mainline;No;No;No;Yes[Note 8];Yes;Yes;No;Yes;Yes;Yes;No;No;Yes;
BitTorrent 6;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[Note 9];Yes;Yes;Yes;HTTP(S), SOCKS4-5;
BitTyrant;No;No;Yes[citation needed];Yes;Yes;Yes;Yes[Note 10];Yes[Note 11];Yes;Yes;No;No;No;
Blog Torrent;No;No;No;Yes;No;No;No;No;No;No;No;No;No;
Deluge;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5;
FlashGet;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;
Free Download Manager;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;
KTorrent;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;HTTP, SOCKS4-5;
LimeWire;Partial;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;
Meerkat Bittorrent Client;No;No;Yes;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;
MLDonkey;Yes[65];No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;
µTorrent;Yes;Yes[66];Yes[67];Yes[68];Yes[69];Yes;Yes[70];Yes[Note 12];Yes[Note 9];Yes[71];Yes;Yes[72];HTTP(S), SOCKS4-5;
OneSwarm;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;
Opera 12;No;No;No;Yes[73];No;No;No;No;Yes[74];No;No;No;No;
qBittorrent;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;HTTP(S), SOCKS4-5;
rTorrent;Yes[75];No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No[76];No;
Shareaza;Yes;No;No;No;Yes;Yes;No;Yes[Note 13];Yes;No;Yes[Note 14];No;No;
SymTorrent;No;No;No;No;No;No;No;No;No;No;No;No;No;
Tixati;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;only with out going without DHT if anonymity required;
Tomato Torrent;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;
Tonido;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;No;
TorrentFlux;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;
Transmission;Yes;Yes[77][78][79];No;No;Yes;Yes;Yes;Yes;Yes[Note 15];Yes;Yes;Yes;No[80];
Tribler;Yes;No;No;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;Uses P2P onion routing to provide anonymity.;
Vuze (formerly Azureus);Yes;Yes;Yes;Yes;Yes;Yes;Yes[Note 16];Yes[Note 11];Yes;Yes;Yes;Plugin;HTTP(S)?, SOCKS4-4a-5;
Xunlei;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;HTTP, SOCKS5, FTP;
BitTorrent client;Magnet URI;Preload Magnet metadata;Super-seeding;Embedded tracker;UPnP;NAT Port Mapping Protocol;NAT traversal;DHT;Peer exchange;Encryption;UDP tracker;LPD;Proxy server;
