Library Name;Supported Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Rendering Technologies;Databinding;;;
License;Free;Line;Timeline;Scatter;Area;Pie;Donut;Bullet;Radar;Funnel;Gantt;Network;Grouped;Stacked;Negative;Discrete;Horizontal;3D;Legends;Mouse Over;onClick;HTML5 Canvas;SVG;VML;AxisXY;
JenScript;BSD-3[76];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No[77];Yes;No;Yes;
jqPlot;MIT or GPLv2[78];Yes;Yes;No;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;;Yes;Yes;Yes;Yes[79];No;No;;
jqxChart;Proprietary;Free with a link [80] or commercial[81];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;;
JSCharting;Proprietary[82];No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;;
KoolChart;Proprietary;Free with a link [83] or commercial[84];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[85];No;Yes;Yes;
MetricsGraphics;Mozilla Public License Version 2.0[86];Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;
NextCharts;Apache 2.0[87];Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;Yes;
NVD3;Apache 2.0[88];Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes[89];No;;
OLAPCharts;Proprietary;Free basic edition[90];No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;No;;;
plotly.js;MIT[91];Yes;Yes;Yes[92];Yes;Yes;Yes;Yes;via Bars&Scatter[93];Yes;via Python[94];via Python[95];via Python[96];Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes[97];No;;
PlusCharts;Free;Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;Yes;;Yes;Yes;Yes;No;Yes;Yes;;
ReactiveChart;MIT[98];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;;
RGraph;MIT[99];Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;
rickshaw;MIT[100];Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;;Yes;Yes;No;No;Yes[101];No;;
Shield UI;Proprietary;Non-commercial or commercial[102];No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes[103];;;
Syncfusion;Proprietary;Free[104] or commercial[105];Yes;Yes;Yes;Yes;Yes;Yes[106];Yes;Yes;Yes[107];No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;
TeeChart JS;MIT[108];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;;
Vaadin Charts;Proprietary;No[109];Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;No;Yes;Yes;;;
VanCharts;Proprietary;cc-by-nc 4.0 [110] or commercial [110];Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;No;Yes;;;
VisJS;Apache 2.0 and MIT[111];Yes;Yes[112];Yes[113];Yes[114];Yes[115];No;No;No;No;No;Yes[116];Yes[117];Yes;Yes;Yes;No;No;Yes[118];Yes;Yes;Yes;Yes;No;No;;
Webcharts;MIT[119];Yes;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;No;No;Yes;;Yes;Yes;Yes;No;Yes;No;;
Webix UI;GPL[120];Yes;Yes[121];No;Yes[122];Yes[123];Yes[124];Yes[124];No;Yes[125];No;No;No;Yes[126];Yes[127];Yes;No;Yes[127];;Yes [128];Yes [129];Yes [130];Yes;No;Yes;Yes;
xcharts;MIT[131];Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;;No;Yes;Yes;No;Yes[16];No;;
YUI Charts;BSD-3[132];Yes;Yes;No;No;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;;Yes;Yes;No;Yes;Yes;Yes[133];;
ZingChart;Proprietary;Free with a link [134] or commercial[135];No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes;Yes;Yes[136];Yes;;
ZoomCharts;Proprietary;Non-commercial or commercial[137];Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;;Yes;Yes;Yes;Yes[138];Yes;No;;;
Library Name;License;Free;Line;Timeline;Scatter;Area;Pie;Donut;Bullet;Radar;Funnel;Gantt;Network;Grouped;Stacked;Negative;Discrete;Horizontal;3D;Legends;Mouse Over;onClick;HTML5 Canvas;SVG;VML;AxisXY;
Supported Chart Types;Supported Bar Chart Types;Other Features;Interactivity;Rendering Technologies;Databinding;;;
