Model;Charter Spectrum;Verizon FiOS;Comcast Xfinity;Watch ABC;PBS;Fox Now;A&E;Bloomberg;Disney Channel;FX Now;History Channel;Lifetime;MTV;SyFy;Watch ESPN;Encore Play;EPIX;HBO GO;Showtime Anytime;Starz Play;
Amazon Fire TV;No;No;No;Yes[13];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[14];Yes[15];Yes;Yes;
Apple TV;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;
Google Chromecast;No;No;No;Yes;Yes;Yes;No;No;Yes;Yes;No;No;No;No;Yes;Yes;No;Yes;Yes;Yes;
Microsoft Xbox;Yes;Yes;No;Xbox 360 only;Yes;Yes;Yes;No;Xbox 360 only;Xbox One only, Xbox 360 upcoming[16];Yes;Yes;Yes;Yes;Xbox One only;Yes;Yes;Yes;Yes;Yes;
Roku | Roku Devices;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Sony PlayStation;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;
