Distribution;Founder;Maintainer;Initial release year;Current stable version;Security updates (years);Release date;System distribution commitment;Forked from;Target audience;Cost;Status;
Linspire;Linspire, Inc.;Linspire, Inc.;2001;7.0;?;2018-01-01;X;Ubuntu;?;Commercial[22];Active;
Linux Mint;Clement Lefebvre;dev team;2006;18.3;~3 years (LMDE); 5 years (main editions);2017-11-27;X;Debian, Ubuntu;desktop;Gratis;Active;
Linux Lite;Jerry Bezencon;Linux Lite Team;2012;3.8;?;2017-02-01;X;Ubuntu;desktop;Gratis;Active;
Mageia;Mageia Community;mageia.org;2010;6;1;2017-07-16[23];X;Mandriva Linux;general;Gratis;Active;
Mandriva Linux;Mandrakesoft S.A.;Mandriva S.A.;1998;2011;?;2011-08-28;X;Red Hat Linux;general;Some editions are gratis;Inactive;
Manjaro Linux;Roland Singer;dev team;2012[24];Rolling;Rolling;Rolling;X;Arch Linux;general;Gratis;Active;
MEPIS;Warren Woodford;MEPIS LLC;2003;?;?;?;X;Debian;desktop, server;Gratis;Inactive;
Musix GNU+Linux;Musix team;Musix team;2008;3.0.1;?;2014-03-13;100% Free: GNU FSDG;Debian;multimedia;Gratis;Active;
Netrunner;Blue Systems;dev team;2009;18.03;as per Debian Testing or Manjaro (rolling);2018-03-11;X;Debian, Manjaro/Arch;desktop;Gratis;Active;
NixOS;Eelco Dolstra and Armijn Hemel;NixOS Foundation;2003;17.09;6 months;2017-10-02;X;-;general, server, desktop;Gratis;Active;
Novell Open Enterprise Server;Novell;Novell, Inc. dev team;2003;?;?;?;X;SUSE Linux Enterprise Server;server;Commercial[25];Active;
OpenELEC;Stephan Raue, OpenELEC Team;OpenELEC Team;2011;8.0.4;?;2017-06-04;X;–;multimedia;Gratis;Active;
openSUSE;SUSE Linux, Novell;openSUSE Project;2006;42.3;3 years[26];2017-07-26;X;–;general, desktop;Gratis;Active;
OpenWrt;?;OpenWrt team;2007;15.05.1;?;2017-03-16;X;–;embedded systems;Gratis;?;
Oracle Linux;Oracle Corporation;Oracle Corporation;2006;7.4;?;2017-08-08;X;Red Hat Enterprise Linux (RHEL);server;Gratis;Active;
Parabola GNU/Linux-libre;Parabola Hackers;Parabola Hackers;2009;Rolling;Rolling;2017-05-28[27];100% Free: GNU FSDG followed in Parabola Social Contract;Arch Linux;general;Gratis;Active;
Pardus;Scientific and Technological Research Council of Turkey (TÜB?TAK);TÜB?TAK;2005;5;?;2015-04-25;X;–;general;Gratis;?;
Parsix;Alan Baghumian;Parsix Project;2005;8.15;?;2017-01-25;X;Debian;desktop;Gratis;Inactive;
PCLinuxOS;Bill Reynolds;dev team;2003;2017.04[28];Semi-rolling;2017-04-02;X;Mandriva Linux;desktop;Gratis;Active;
Pentoo;Michael Zanetta, Rick Farina, Jens Pranaitis;Pentoo;2005;2015.0 RC4.6;?;2015-12-02;X;Gentoo Linux;auditing, security;Gratis;Active;
Porteus;Fanthom;Porteus;2010;3.2.2;?;2016-12-29;X;Slackware;lightweight, portable;Gratis;Active;
Puppy Linux;Barry Kauler;Puppy Foundation;2003;6.3.2;?;2016-06-22;X;–;lightweight, portable;Gratis;Active;
Qubes OS;Joanna Rutkowska;Invisible Things Lab;2012;4.0;?;2018-03-28[29];X;Xen and Fedora;security by compartmentalization, desktop;Gratis;Active;
Red Hat Enterprise Linux (RHEL);Red Hat;Red Hat;2002;7.6;10 years;2018-10-30[30];X;Red Hat Linux, Fedora;server, workstation;Commercial[31][32];Active;
Red Hat Linux;Red Hat;Red Hat;1995;9;?;2003-03-31;X;–;server, workstation;Gratis;Inactive;
Rocks Cluster Distribution;UCSD Supercomputing Center, Clustercorp;UCSD Supercomputing Center, Clustercorp;2000;7.0;?;2015-12-01;X;Red Hat Linux;server, workstation;Gratis;Active;
Sabayon Linux;Fabio Erculiani;dev team;2005;17.12;?;2017-11-29[33];X;Gentoo Linux;general;Gratis;Active;
Salix OS;Cyrille Pontvieux, George Vlahavas, Pierrick Le Brun, Thorsten Mühlfelder;Salix team;2009;14.2;?;2016-08-29;X;Slackware;general;Gratis;?;
Scientific Linux;CERN, Fermilab;dev team;2004;7.4;?;2017-10-02;X;Red Hat Linux, Red Hat Enterprise Linux (RHEL);server, workstation;Gratis;Active;
Slackware;Patrick Volkerding;dev team;1993;14.2[34];?;2016-06-30;X;Softlanding Linux System (SLS);general;Gratis;Active;
Slax;Tomas Matejicek;Tomas Matejicek;2002;9.3.0;?;2017-12-24[35];X;Debian, Slackware (until Slax 9);live;Gratis;Active;
SliTaz GNU/Linux;Christophe Lincoln;dev team;2008;Rolling;Rolling;2017-12-03;X;–;portable;Gratis;Active;
Solus;Ikey Doherty;dev team;2005;Rolling;Rolling;2017-08-15;X;–;desktop;Gratis;Active;
SolydXK;Arjen Balfoort;dev team;2013;201801;Debian packages as per Debian;2018-01-23;X;Debian;desktop;Gratis;Active;
Source Mage GNU/Linux;Ryan Abrams, Eric Schabell;dev team;2002;0.62-11;?;2017-10-22;Source Mage Social Contract;Sorcerer;general;Gratis;Active;
SteamOS;Valve Corporation;Valve Corporation;2013;2.148;?;2018-01-23;X;Debian;video games;Gratis;Active;
SUSE Linux Enterprise;SUSE;Microfocus;2000;12SP3;?;2017-09-07;X;Slackware, Jurix;workstation, server;Commercial[36];Active;
Tails;?;Tails Development Team;2009;3.8;–[g 2];2018-06-26;X;Debian;security-focused aimed for anonymity and privacy;Gratis;Active;
Tiny Core Linux;Robert Shingledecker;Team Tiny Core;2009;8.2.1;?;2017-11-07;X;Tiny Core Linux;portable;Gratis;Active;
