Client;CHAT;Whiteboard;SEND;GET;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;
AndroidChat;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;
Mobile Colloquy;Yes[citation needed];No;No;?;No;No;No;No;No;No;No;No;No;No;No;No;
fIRC;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
jmIrc;No;No;No;?;No;No;No;No;No;No;No;No;No;No;No;No;
k-IRC;No;No;No;?;No;No;No;No;No;No;No;No;No;No;No;No;
Virca;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
wIRC;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;
WLIrc;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Yaaic;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;?;
Simple IRC;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;
zsIRC;No;No;No;?;No;No;No;No;No;No;No;No;No;No;No;No;
Client;CHAT;Whiteboard;SEND;GET;RESUME;TSEND;SEND T;XMIT;Passive DCC;Server;RDCC;REVERSE;RSEND;Reverse / Firewall DCC;File servers (FSERVs);XDCC;
