IDE;Developer;License;Windows;Linux;macOS;Other platforms;Debugger;GUI builder;
Dolphin Smalltalk;Object Arts;MIT License;Yes;No;No;No;Yes;Yes;
Pharo;INRIA;MIT License;Yes;Yes;Yes;various;Yes;Yes;
Squeak;squeak.org;MIT License;Yes;Yes;Yes;various;Yes;Yes;
VisualWorks;Cincom;Proprietary;Yes;Yes;Yes;various;Yes;Yes;
