Name;License;Deployment;Platforms;
10-Strike[6];Proprietary;Desktop;Windows;
CloudView NMS[7];Shareware;Desktop;Windows, Linux, macOS;
Manage Engine[8];Proprietary;Desktop;Windows;
MaSSHandra[9];Proprietary[10];Desktop;Windows, Linux, macOS;
netTransformer[11];GPL;Desktop;Windows/Linux/macOS;
OpenNMS[12];AGPLv3[13];Desktop;Linux, macOS, others;
SolarWinds[14];Proprietary;Desktop;Windows;
PathSolutions[15];Proprietary;Desktop;Windows;
Spiceworks[16];Proprietary[17];Desktop;Windows;
The Dude[18];Proprietary[19];Desktop;Windows, Linux;
WhatsUp Gold[20];Proprietary;Desktop;Windows;
SmartHawk[21];Proprietary;Desktop;Windows, Linux;
