;GUI;Console;Software license;Latest stable version;Latest release date;Windows;Macintosh;Linux;
beye;No;Yes;GPL;6.1.0;December 12, 2009;Yes;Yes;Yes;
bvi;No;Yes;GPL;1.4.0;October 7, 2014;DOS, Win95 and up;Yes;Yes;
Cheat Engine;Yes;No;APL;6.8.1;June 23, 2018;Yes;Yes, ver. 6.2;No;
GNU Emacs;Yes;Yes;GPL;25.2[1];April 25, 2017;Yes;Yes;Yes;
FlexHex;Yes;No;Proprietary (Freeware);2.7;October 12, 2018;Windows XP and up;No;No;
Frhed (Free Hex Editor);Yes;No;GPL;1.7.1;July 30, 2009;Win98 and up;No;No;
Hiew;No;Yes;Proprietary;8.52;October 6, 2016;Yes;No;No;
HxD;Yes;No;Proprietary (Freeware);2.1;September 27, 2018;Win95, WinNT4 and up;No;No;
VEDIT;Yes;Yes;Proprietary;6.24.2;Jan 1, 2015;Yes;No;No;
UltraEdit;Yes;No;Proprietary;23.20 (Windows) 16.1 (Linux / Mac OS X);July 5, 2016;Yes;Yes;Yes;
WinHex;Yes;No;Proprietary;19.5;November 27, 2017;Win95 and up;No;No;
