Client;Secure POP3;Secure IMAP4;Secure SMTP;Secure NNTP;Secure LDAP;SNI;OCSP [Note 1];CRL [Note 2];
SSL;TLS [Note 3];SSL;TLS [Note 3];SSL;TLS [Note 4];SSL;TLS;SSL;TLS;
Alpine;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;?;?;
Becky! Internet Mail;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;?;?;
Citadel;?;?;?;?;?;?;?;?;?;?;?;?;?;
Claws Mail;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;Yes;
Cone;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;No;No;
Courier;No;No;No;No;No;No;No;No;No;No;No;No;No;
Elm;?;?;?;?;?;?;?;?;?;?;?;?;?;
eM Client;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;?;No;Yes;
EmailTray;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;?;No;No;
Eudora;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;?;?;
Eureka Email;?;?;?;?;?;?;?;?;?;?;?;?;?;
Evolution;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;No;No;
Gnus;?;?;Yes;Yes;?;?;?;?;?;?;?;?;?;
GroupWise;?;?;?;?;?;?;?;?;?;?;?;?;?;
Hiri;No;No;No;No;No;No;No;No;No;No;No;No;No;
i.Scribe / InScribe;Yes;Yes;Yes;No;Yes;Yes;No;No;No;No;?;No;No;
IBM Lotus Notes;Yes;Yes;Yes;?;Yes;Yes;Yes;?;Yes;?;?;Yes;Yes;
KMail;Yes;Yes;Yes;Yes;Yes;Yes;No;No;?;?;?;?;?;
Mailpile;?;Yes;?;Yes;?;?;?;?;?;?;?;?;?;
Microsoft Entourage;Yes;?;Yes;?;Yes;?;Yes;?;Yes;?;?;?;?;
Microsoft Office Outlook;Yes;No;Yes;Yes;Yes;Yes;?;?;?;?;?;?;?;
Mozilla Mail & Newsgroups;?;?;?;?;?;?;?;?;?;?;?;?;?;
Mozilla Thunderbird;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;
Mulberry;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;?;?;
Mutt;Yes;Yes;Yes;Yes;1.5.15;1.5.15;?;?;?;?;?;?;?;
Netscape Messenger;?;?;?;?;?;?;?;?;?;?;?;?;?;
Netscape Messenger 9;?;?;?;?;?;?;?;?;?;?;?;?;?;
nmh / MH;?;?;?;?;?;?;?;?;?;?;?;?;?;
Opera Mail;Yes;Partial [Note 5];Yes;Partial [Note 5];Yes;Partial [Note 5];Yes;No;N/A;N/A;?;Yes;Yes;
Outlook Express;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;?;?;
Pegasus Mail;Yes;Yes;Yes;Yes;Yes;Yes;?;?;Yes;?;?;?;?;
Pine;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;?;?;?;
Pocomail;?;?;?;?;?;?;?;?;?;?;?;?;?;
RoundCube;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;?;?;
SeaMonkey Mail & Newsgroups;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
Spicebird;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;
SquirrelMail;Yes;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;?;?;?;
Sylpheed;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;?;?;
The Bat!;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes [Note 6];Yes [Note 6];
Trojitá;?;?;Yes;Yes;Yes;Yes;?;?;?;?;?;Yes (system);Yes (system);
Turnpike;?;?;?;?;?;?;?;?;?;?;?;?;?;
Windows Live Mail;Yes;No;Yes;No;Yes;No;?;?;?;?;?;?;?;
Windows Mail;Yes;No;Yes;?;Yes;?;?;?;?;?;?;?;?;
YAM;Yes;Yes;No;No;?;?;?;?;?;?;?;?;?;
Zimbra;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;?;?;
Client;Secure POP3;Secure IMAP4;Secure SMTP;Secure NNTP;Secure LDAP;SNI;OCSP [Note 1];CRL [Note 2];
SSL;TLS [Note 3];SSL;TLS [Note 3];SSL;TLS [Note 4];SSL;TLS;SSL;TLS;
