IDE;Developer;Latest stable release;Platform;License;
Eclipse EPIC;EPIC Project Team;0.6.44 / April 18, 2012;Windows, Linux, macOS, FreeBSD, JVM, Solaris;CPL;
Geany;Team;1.27 / March 13, 2016;Windows, Linux, macOS, FreeBSD, AIX, OpenBSD, Solaris, other Unix;GPL;
KDevelop;KDevelop Team;5.2.3 (November 24, 2017; 12 months ago (2017-11-24)) [±];Cross-platform;GPL;
Komodo IDE / Edit;ActiveState;9.0.1 / April 19, 2015;Cross-platform;Proprietary;
NetBeans;Sun Microsystems / Oracle;9.0 / July 29, 2018; 4 months ago (2018-07-29)[37];Cross-platform;CDDL, GPL;
Padre;Padre Team;1.0 / November 8, 2013;Cross-platform;Perl;
SlickEdit;SlickEdit;October 2016;Windows, Linux, macOS, AIX, Solaris, HP-UX;Proprietary;
