;Trident;Tasman;Gecko;WebKit;KHTML;Presto;Prince XML;
MathML;No;No;1.0;No[w 1];No;2.1;6.0;
SVG;5.0;1.8;522;3.2;1.0;5.1;
XForms;No;No[g 3];No[w 2];No;No;?;
VoiceXML;No;No;1.0;No;
