;Protocol;Author, creator;First public release date;Latest stable version;Cost (USD);Software license;Programming language;
BeeBEEP [1];BeeBEEP Protocol;Marco Mastroddi;2010;4.0.0 (August 1, 2017; 15 months ago (2017-08-01));Free;QPL;C++ and Qt;
Bit Chat;Bit Chat Protocol;Technitium;2011;4.5.1 (September 24, 2016; 2 years ago (2016-09-24));Free[2];GNU GPLv3;C#;
BORGChat;?;Ionut Cioflan;2002;v1.0.0 b438 (March 31, 2007; 11 years ago (2007-03-31)) [±];Free[3];Freeware;?;
iChat;Bonjour IM Protocol;Apple Inc.;2003;5.0.3 (745), (April 26, 2010; 8 years ago (2010-04-26));Non-free, bundled with OS;Proprietary;Likely Objective-C;
iptux;Windows Messenger service;Jally, ManPT, others;2008;0.51 (November 20, 2009; 9 years ago (2009-11-20));Free[4];GNU GPL;?;
LinPopUp;Windows Messenger service;Jean-Marc Jacquet;2000;1.2.0 (Debian, April 7, 2008; 10 years ago (2008-04-07));Free[5];GNU GPL;C;
Miranda IM;Windows Messenger service;Roland Rabien;2000;0.10.56 (August 12, 2016; 2 years ago (2016-08-12));Free;GNU GPL;C/C++;
Pidgin[6];?;Mark Spencer, others;1998;2.11.0 (June 20, 2016; 2 years ago (2016-06-20));Free;GNU GPL;C;
Qualia LAN Messenger;LAN Messenger protocol;Qualia Technologies;2010;1.2.37 (November 10, 2016; 2 years ago (2016-11-10));Free[7];GNU GPL;C++;
