Spanish;Portuguese;English;
lunes (< Lat. di?s l?nae 'Moon's day');Segunda-feira ('second f?ria');Monday;
martes (< Lat. di?s martis 'Mars' day');Terça-feira ('third f?ria');Tuesday;
miércoles (< Lat. di?s mercuri? 'Mercury's day');Quarta-feira ('fourth f?ria');Wednesday;
jueves (< Lat. di?s iovis 'Jupiter's day');Quinta-feira ('fifth f?ria');Thursday;
viernes (< Lat. di?s veneris, 'Venus' day');Sexta-feira ('sixth f?ria');Friday;
sábado (< Lat. sabbatum 'Sabbath');Saturday;
domingo (< Lat. di?s dominica 'Lord's day');Sunday;
