File Manager;Undo/redo file operation;File compression;File encryption;Rename busy files;File preview;File coloring filter [44];File selection filter;Paste clipboard as file;File and folder reports;ACL (Access control list);Mass Rename [45];Run executable files;
Altap Salamander;?;Yes;Yes;?;Yes;Yes;Yes, multiple [46];?;Yes;Yes [47];Yes;Yes;
Commander One;?;Yes;Yes;Yes;Yes;Yes;Yes;?;No;?;?;?;
CRAX Commander;?;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;Yes;
Directory Opus;Yes;Yes;Partial;Partial;Yes;Yes;Yes;Yes;Yes;?;Yes;?;
Dired;?;Yes;Yes;Yes;No;Yes;Yes;No;?;No;Yes;Yes;
Dolphin;Yes;Yes;Yes;Yes;Yes;?;?;Yes;?;Yes;Partial;Yes;
Double Commander;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;Yes;?;
emelFM2;?;Yes;Yes;Yes;No;?;Yes;No;?;Yes;?;?;
FAR Manager;?;Yes;Yes;Yes;Yes;Yes;Yes;Partial [48];Yes;Plugin;Plugin;?;
File Commander;?;Yes;No;No;Yes;Yes;Yes;No;No;No;Yes;?;
File Manager;?;Yes;?;?;No;Yes;Yes;No;?;Yes;Yes;Yes;
Finder;Yes;Yes;Yes;Yes;Yes;Yes;?;No;?;Yes;Yes;Yes;
ForkLift;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes;Yes;?;
GNOME Commander;?;Yes;?;?;Yes;Yes;?;?;?;No;Yes;?;
Konqueror;Partial [49];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[50];Yes;
Krusader;?;Yes;Yes;Yes;Yes;No;Yes;Yes;?;Yes;Yes[50];Yes;
Midnight Commander;?;Yes;?;?;?;Yes;Yes;Partial[51];?;?;Yes;Yes;
GNOME Files (Nautilus);Yes;Yes;No;Yes;Yes;No;No;Partial [52];No;Yes;No;No [53];
Nemo;?;?;?;?;?;?;?;?;?;?;No;Yes;
Nomad.NET;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Partial;?;
Path Finder;?;Yes;No [54];No;Yes;No;Yes;No;Yes;No;No;?;
PCManFM;No;Yes;?;Yes;No;?;?;?;?;?;?;Yes;
ROX-Filer;?;With helper applications;Yes;Yes;No;Yes;No;No;No;Yes;?;
STDU Explorer;?;No;No;No;Yes;No;No;No;No;No;No;?;
Thunar;No;No;No;?;Yes;No;Yes;?;?;?;Yes;Yes;
Total Commander;?;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Log file;Yes;?;
Windows Explorer;Yes;Yes;Partial[55];No;Yes;No;No;Partial [56];No;Yes [57];Partial;Yes;
Xandros File Manager;?;?;?;?;?;?;?;?;?;?;?;?;
Xfe;Yes;Yes;No;Yes;No;?;Yes;No;?;Yes;No;?;
Xfm;?;?;?;?;?;?;?;?;?;?;?;?;
xplorer²;No;Yes;Partial [55];Partial;Yes;Yes;Yes;Yes;Yes;Yes [58];Yes;?;
XYplorer;Yes;Yes;Partial [55];Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
ZTreeWin;?;Yes;Partial [59];Yes;Yes;Yes;Yes;No;Yes;No;Yes;?;
File Manager;Undo/redo file operation;File compression;File encryption;Rename busy files;File preview;File coloring filter;File selection filter;Paste clipboard as file;File and folder reports;ACL (Access control list);Mass Rename;Run executable files;
