API;Desktop support;Embedded system support;License;
Direct3D;Microsoft Windows, Xbox[citation needed];Windows Embedded,[1] Windows CE (through Direct3D Mobile)[citation needed];Proprietary[2];
OpenGL;Cross-platform[3];Cross-platform through OpenGL ES[4];Open standard,[3] some features patented;
