Distribution;Free software repositories;Approximate number of pre-compiled packages;Approximate number of source packages;Default package management tool(s);Package format;Default installer;Graphical installation process;Netinstall;Netboot;
Alpine Linux;Free, and nonfree;7003813500000000000?8,135[124];?;apk;.apk;setup-alpine;No;?;?;
ALT Linux;Free, and nonfree;7003830000000000000?8,300[125];?;APT (APT-RPM), RPM;RPM;;Yes;?;?;
Arch Linux;Free, and nonfree;7004110000000000000?11,000[126];7004470000000000000?47,000 from AUR[127];Pacman;.pkg.tar.xz;None (install scripts only);No;Yes;iPXE;
BLAG;Free only;7004100000000000000?10,000[128];?;RPM, yum, APT;RPM;;Yes;No;No;
Bodhi Linux;Free, and nonfree;7004350000000000000?35,000;?;APT;.dpkg;Ubiquity;Yes;?;?;
CentOS;Free, and nonfree;7004175650000000000?17,565[129];?;RPM, yum/up2date;RPM;Anaconda;Yes;Yes;?;
Chakra;Free, and nonfree;7003307400000000000?3,074[130];7003466300000000000?CCR: 4,663[131];Pacman (will be replaced by Akabei in future);.pkg.tar.xz;;Package manager in development;?;?;
ClearOS;Free, and nonfree;?;?;RPM, yum;RPM;;No;?;?;
CrunchBang Linux;Free, and nonfree;7004230000000000000?23,000;?;APT;.deb;;Yes;?;?;
Damn Small Linux;Free, and nonfree;7002610000000000000?610;?;myDSL, APT;.dsl, .tar.gz, .uci, .unc, .deb;;No;?;?;
Debian;Free, and nonfree;7004680000000000000?68,000[132];7004210410000000000?21,041[a];APT;.deb;Debian-Installer;Yes;Yes;PXE;
Devuan;Free, and nonfree;?;?;APT;.deb;?;Yes;Yes;PXE;
Dragora GNU/Linux-Libre;Free only;7002484000000000000?484;?;pkgsystem;.tlz;?;No;No;No;
dyne:bolic;Free only;?;?;APT;.deb;Debian-Installer;Yes;No;No;
Fedora;Free, and nonfree;7004200000000000000?20,000 [133];7004250410000000000?25,041[134];DNF, yum, PackageKit;RPM;Anaconda;Yes;Yes;?;
Gentoo;Free, and nonfree;7002108000000000000?108[135];7004190920000000000?19,092[136][b];Portage;.ebuild, .tbz2;;Yes[c];Yes;PXE;
gNewSense;Free only;?;?;APT;.deb;Debian-Installer;Yes;Yes;No;
gnuLinEx;Free, and nonfree;7002200000000000000?200;?;APT;.deb;;Yes;?;?;
GuixSD;Free only;7003872300000000000?8,723[137];7003872300000000000?8,723;Guix;.scm, .go;guix system init;WIP[138];Yes;No;
Hyperbola GNU/Linux-libre;Free only;7004146610000000000?14,661[139];?;Pacman;.pkg.tar.xz;None (install scripts);No;Yes;?;
Knoppix;Free, and nonfree;7003360000000000000?3,600;?;APT;.deb;;No;?;?;
LibreCMC;Free only;7002826000000000000?826;?;?;?;;No;No;No;
Linux Mint;Free, and nonfree;7004507810000000000?50,781;?;APT;.deb;Ubiquity;Yes;?;?;
Mageia;Free, and nonfree;7004172830000000000?17,283 (i586), 7004114090000000000?11,409 (x86-64)[140];7003883400000000000?8,834[141];urpmi, rpmdrake;RPM;DrakX;Yes;Yes;?;
Mandriva Linux;Free, and nonfree;7004226000000000000?22,600;?;urpmi, rpmdrake;RPM;DrakX;Yes;?;?;
Manjaro Linux;Free, and nonfree;?;? from AUR[127];Pacman;.pkg.tar.xz;Calamares[142];Yes[143];Yes;iPXE;
MEPIS;Free, and nonfree;7004200000000000000?20,000;?;APT;.deb;MEPIS Install;Yes;?;?;
Musix GNU+Linux;Free only;7003181900000000000?1,819;?;APT;.deb;Debian-Installer;Yes;No;No;
OpenELEC;Free, and nonfree;7002140000000000000?140[144];?;XBMCbuntu addon manager, own and 3rd party addons;.zip;;Yes;?;?;
openSUSE;Free, and nonfree;7004340000000000000?34,000;7004340000000000000?34,000[145];YaST, Zypper;RPM;YaST;Yes;Yes;?;
OpenWrt;Free, and nonfree;7003200000000000000?2,000;?;opkg;.ipk;-;No;?;?;
