;First public release;First stable release;Latest stable release;
Client;Date;Version;Date;Version;
Bersirc;1999;;;;2.2.14 (12 August 2005; 13 years ago (2005-08-12)) [±];
BitchX;1996;;;;1.2.1 (November 14, 2014; 4 years ago (2014-11-14)) [±];
ChatZilla;2001;;;;0.9.93 (November 8, 2016; 2 years ago (2016-11-08)[25]) [±];
Colloquy;2005;;;;2.4.3 (6011) (March 22, 2014; 4 years ago (2014-03-22)) [±];
degesch;2015;0.9;2015;0.9;;
DMDirc;2007;;;;0.7 (January 5, 2013; 5 years ago (2013-01-05)[26]) [±];
ERC;1999?;;;;ERC improvements are now released as part of Emacs. [±];
F-IRC;2006?;0.1;;;1.36 (Februari 23, 2014);
HexChat;2009-10-04;r249;2009-10-09;2.86.0;2.14.2 (August 29, 2018; 3 months ago (2018-08-29)) [±];
HydraIRC;2002;;;;0.3.165 (December 12, 2008; 10 years ago (2008-12-12)) [±];
IceChat;2002;3.0;2002-04-08;3.0;9.21 (January 27, 2018; 10 months ago (2018-01-27)) [±];
ircII;1990;;;;20170704 (July 4, 2017; 17 months ago (2017-07-04)) [±];
IRCjr;2008;;2008;;mTCP_2013-04-26 (April 26, 2013; 5 years ago (2013-04-26)[27]) [±];
Ircle;1995;;;;3.5a6 (November 17, 2007; 11 years ago (2007-11-17)) [±];
Irssi;1999;;;;1.1.1 (February 15, 2018; 9 months ago (2018-02-15)) [±][28];
jIRCii;?;?;;;?;
KVIrc;1998;0.6.0;1999-12-21;1.0.0;5.0.0 (December 29, 2017; 11 months ago (2017-12-29)[29]) [±];
Konversation;2002;;;;1.7.5 (27 June 2018; 5 months ago (2018-06-27)[30]) [±];
LeafChat;?;1.0;;;2.41 (October 4, 2011; 7 years ago (2011-10-04)) [±];
LimeChat;2007;;;;Mavericks / Mountain Lion 2.42 (June 22, 2014; 4 years ago (2014-06-22)) [±] Lion 2.38 (September 12, 2013; 5 years ago (2013-09-12)) [±];
Linkinus;2007;;;;2.4.3 (August 23, 2011; 7 years ago (2011-08-23)[31]) [±];
Mibbit;2008;;;;web application, no version;
mIRC;1995;;;;7.53 (November 29, 2018; 21 days ago (2018-11-29)[32]) [±];
Nettalk;2004;;;;6.7.16 (October 30, 2012; 6 years ago (2012-10-30)[33]) [±];
Opera;1996;;;;57.0.3098.106 (December 19, 2018; 1 day ago (2018-12-19)[34]);
PIRCH;1995;;;;1.0.1.1190 (January 1, 2001; 17 years ago (2001-01-01)) [±];
PJIRC;2002;;;;2.2.1 (November 29, 2004; 14 years ago (2004-11-29)) [±];
Quassel;2008-08-27;0.3.0;;;0.13.0 (November 17, 2018; 33 days ago (2018-11-17)) [±];
qwebirc;2009;0.81;;;0.92 (February 13, 2012; 6 years ago (2012-02-13)) [±];
rIRC;2010;Preview Release 1;2012;1.44;1.4.4 (January 16, 2012);
Scrollback;2013;;2013;;;
rcirc;?;?;;;24.1 (June 10, 2012; 6 years ago (2012-06-10)) [±];
Smuxi;2008-07-29;0.6;2010-09-03;0.8;1.0.7 (June 18, 2017; 17 months ago (2017-06-18)) [±];
Snak;1997;;;;5.3.4 (March 11, 2012; 6 years ago (2012-03-11)[35]) [±];
Visual IRC;1995;;;;2.0pl2 (December 30, 2007; 10 years ago (2007-12-30)) [±][36];
WeeChat;2003;;;;2.3 (October 21, 2018; 60 days ago (2018-10-21)[37]) [±];
XChat;1998;;;;2.8.8 (source) (May 30, 2010; 8 years ago (2010-05-30)) [±] 2.8.9 (windows) (August 28, 2010; 8 years ago (2010-08-28)) [±];
Client;Date;Version;Date;Version;Latest stable release;
First public release;First stable release;
