Client;Creator;First public release date;Latest stable version;Software license;Copy files over 2 GB[1];
CoreFTP;CoreFTP.com;2003;2.2 (build 1751) June 27, 2012; 6 years ago (2012-06-27);Freeware;Yes;
Fetch;Fetch Softworks;1989;5.7.7 December 2, 2017; 12 months ago (2017-12-02);Proprietary;Yes;
Monsta FTP;Monsta Limited;2013;2.8 August 6, 2018; 4 months ago (2018-08-06);Proprietary;Yes;
Secure FTP;Glub Tech;1999;2.6.2 July 27, 2013; 5 years ago (2013-07-27);Apache;Yes;
Sysax FTP Automation;Codeorigin, LLC;2005;5.31 April 12, 2012; 6 years ago (2012-04-12);Proprietary;Yes;
Xftp;Netsarang Computer, Inc.;2004;6.0 Build 0103 December 11, 2018; 1 day ago (2018-12-11);Proprietary;Yes;
sFTP Client;sFTP Client Ltd;2013;3.1.6 August 18, 2018; 3 months ago (2018-08-18);Proprietary;Yes;
