Program;Operating systems;License;Open source;Protocols;Codecs;Encryption;Other abilities;Latest release;
Acrobits Softphone;Android v2.2+, iOS v7.0+;Proprietary;No;SIP;G.711, G.722, iLBC, GSM, G.729;TLS, SRTP, ZRTP;VOIP over Wi-Fi or 3G iOS only: push notifications, video, number rewriting, address book matching, sms for betamax providers and pennytel;Acrobits Softphone: 3.20 (Android), 5.2 (iOS);
CounterPath Corporation Bria;Android v4.4+, iOS v10+;Proprietary;No;SIP;G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus;TLS, SRTP, ZRTP;Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications.;5.3.4 July 23, 2018; 4 months ago (2018-07-23);
CSipSimple;Android;GPL;Yes;SIP;Opus, AMR-WB, G.722, iSAC, iLBC, Speex, Silk, Codec2, G.726, G711 (PCMA & PCMU), AMR, GSM;SRTP, SIP over TLS 1.0 and ZRTP;?;1.02.02;
Android;iOS;Google Duo;iOS, Android;Proprietary, freeware;No;WebRTC;?;?;One-to-one voice and video calling.;Android 39.1.213443905.DR39_DR19 / September 18, 2018; 2 months ago (2018-09-18)[47] iOS 38.4 / August 22, 2018; 3 months ago (2018-08-22)[48];Android;iOS;39.1.213443905.DR39_DR19 / September 18, 2018; 2 months ago (2018-09-18)[47];38.4 / August 22, 2018; 3 months ago (2018-08-22)[48];
Android;39.1.213443905.DR39_DR19 / September 18, 2018; 2 months ago (2018-09-18)[47];
iOS;38.4 / August 22, 2018; 3 months ago (2018-08-22)[48];
iCall Mobile;iOS v4.3+;Proprietary, freeware;No;SIP AIM ICQ XMPP, Facebook, Yahoo! Messenger, Windows Live;Speex, CELT, WebM;TLS, ZRTP;VoIP over Wi-Fi or 3G, SMS, voicemail;2.0.1; April 2012; 6 years ago (2012-04);
Jajah Mobile Web;Symbian, Windows Mobile (version unknown);Proprietary;No;?;?;?;web based service, Call back,no download[49];?;
JusTex by Juphoon;Android, iOS v5.1+;Proprietary;No;SIP;PCMA, PCMU, G.722, iLBC, iSAC, Opus, H.264, VP8, H.263;TLS, TCP, UDP, SRTP;JusTex Softphone over Wi-Fi or 3G, HD voice and video call, Multiparty call, conference.;3.0.1 (iOS); July 13, 2014; 4 years ago (2014-07-13); 3.0 (Android); July 9, 2014; 4 years ago (2014-07-09);
Line;Android, iOS;Proprietary;No;?;?;?;?;;
Line2;Android, iOS;Proprietary, freeware;No;Proprietary with SIP core;?;?;Tri-mode calling (cellular, 3G/4G data, Wi-Fi), SMS over IP, visual voicemail, 20-person conference calls, auto-attendant, call-forwarding;1.0.4 Android, 3.2.1 iOS;
Media5-fone;iOS, Android;Proprietary;No;SIP;PCMA, PCMU, G.722*, iLBC, iSAC*, G.729*;TLS*, SRTP*;Wi-Fi and 3G/4G data, second call*, conference calls*, HD Voice, Bluetooth* (* Additional fees);?;
Signal by Open Whisper Systems;iOS, Android;GPLv3;Yes;WebRTC[50];Opus[50];TLS, Signal Protocol[50];End-to-end encryption by default for everything. CallKit and location privacy,[51] one-to-one and group messaging, video calling,[51] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[52] GIF sharing.[53];Android 4.30.8 (November 22, 2018; 27 days ago (2018-11-22)[54]) [±] iOS 2.31.0 (November 26, 2018; 23 days ago (2018-11-26)[55]) [±] Desktop 1.18.1 (November 26, 2018; 23 days ago (2018-11-26)[56]) [±];
Sipdroid;Android;GPL;Yes;SIP;?;?;Uses Wi-Fi, 3G or EDGE;2.7;
Tango by TangoME Inc.;iOS, Android, Microsoft Windows, macOS, Windows Phone;Proprietary, freeware;?;?;?;?;VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, instant messaging, videoconferencing;?;
Truphone;Nokia-Symbian, iOS, Android, BlackBerry;Proprietary, freeware;No;SIP;?;?;VoIP, Wi-Fi out & in, SMS over IP, call-through & call-back, connection management, provisioning;Symbian 4.0, iOS 1.11.1;
Vopium;Symbian, Java ME, Android, BlackBerry RIM, iOS, Windows Mobile 2003 SE and higher;Proprietary, freeware;No;SIP, MSN, Skype, Yahoo, AOL, ICQ, Google Talk, Facebook & Twitter;GSM;?;Wi-Fi VoIP, GSM call-through, SMS over IP, least cost routing, synchronising-backup mobile contacts and calendar;2.0;
