Model;Code Name;Release Date;CPU Socket;Processors Supported;Fab (nm);HyperTransport (MHz);PCI-Express;SLI;PCI;USB;PATA;SATA;LAN;Sound;Features;Notes;
nForce 500;CK8-04;2006;Socket AM2;Athlon 64 Athlon 64 X2 Athlon 64 FX Opteron Sempron Phenom Phenom II;;1 GHz;1.0a 20 lanes;No;5 Ports;10 Ports Rev 2.0;2 Ports UDMA 133;4 Ports 1.5 Gbit/s;1000 Mbit/s;AC'97 2.3;;Rebranded nForce4;
nForce 500 Ultra;CK8-04;2006;;No;10 Ports Rev 2.0;2 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;AC'97 2.3;;Rebranded nForce4 Ultra;
nForce 500 SLI;CK8-04;2006;;x8+x8;10 Ports Rev 2.0;2 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;AC'97 2.3;;Rebranded nForce4 SLI;
nForce 510;MCP51;2006;;No;8 Ports Rev 2.0;1 Ports UDMA 133;2 Ports 3.0 Gbit/s;100 Mbit/s;HDA;;;
nForce 520 LE;MPC61/MCP65;2007;90 nm / ?;No;8 Ports Rev 2.0;1 Ports UDMA 133;2 Ports 3.0 Gbit/s;100 Mbit/s;HDA;;MPC61 is enhanced version of nForce 430 rev.2 with Disabled Onboard GeForce 6100;
nForce 520;MCP65;2007;;No;10 Ports Rev 2.0;1 Ports UDMA 133;4 Ports 3.0 Gbit/s;100 Mbit/s;HDA;;;
nForce 550;MCP55;March 7, 2006;;No;10 Ports Rev 2.0;1 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;HDA;;;
nForce 560;MCP65;2007;;No;10 Ports Rev 2.0;1 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;HDA;;Same chipset as nForce 570 LT SLI but with some resistors removed thus disabling SLI;
nForce 560 SLI;CK8-04;2007;;x8+x8;10 Ports Rev 2.0;2 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;AC'97 2.3;;Rebranded nForce4 SLI;
nForce 570 LT SLI;MCP65;2007;;x8+x8;10 Ports Rev 2.0;1 Ports UDMA 133;4 Ports 3.0 Gbit/s;1000 Mbit/s;HDA;;;
nForce 570 Ultra;MCP55;March 7, 2006;;No;10 Ports Rev 2.0;1 Ports UDMA 133;6 Ports 3.0 Gbit/s;2× 1000 Mbit/s;HDA;;;
nForce 570 SLI;MCP55;March 7, 2006;;1.0a 28 lanes;x8+x8;10 Ports Rev 2.0;HDA;;;
nForce 590 SLI;Crush51 + MCP55;March 7, 2006;;1.0a 46 lanes;x16+x16;10 Ports Rev 2.0;HDA;;;
