Tone name;Yin level ??(1);Yin rising ??(2);Yin departing ??(3);Yin entering ??(4);Yang level ??(5);Yang rising ??(6);Yang departing ??(7);Yang entering ??(8);High rising (9);Neutral tone (0);
IPA;a?;a??;a??;ap? at? ak? a??;a??;a??;a?;ap? at? ak? a??;a??;a?;
Pe?h-?e-j?;a;á;à;ap at ak ah;â;á;?;a?p a?t a?k a?h; ;--a;
Revised TLPA, TLPA;a1;a2;a3;ap4 at4 ak4 ah4;a5;a2 (6=2);a7;ap8 at8 ak8 ah8;a9;a0;
BP;?;?;à;?p ?t ?k ?h;á;?;â;áp át ák áh; ; ;
MLT;af;ar;ax;ab ad ag aq;aa;aar;a;ap at ak ah; ;~a;
DT;a;à;â;?p ?t ?k ?h;?;à;?;ap at ak ah;á;å;
Taiwanese kana (normal vowels);??;??;??;??? ?? ?? ??;??;??;??;??? ?? ?? ??; ; ;
Taiwanese kana (nasal vowels);??;??;??;??? ?? ?? ??;??;??;??;??? ?? ?? ??; ; ;
Extended bopomofo;?;??;??;?? ?? ?? ??;??;??;??;??? ??? ??? ???; ; ;
Tâi-lô;a;á;à;ah;â;á (?);?;a?h;a?;--a;
Example (traditional Chinese);??;??;??;?? ?? ?? ??;??;;??;?? ?? ?? ??;??;??;
Example (simplified Chinese);??;??;??;?? ?? ?? ??;??;;??;?? ?? ?? ??;??;??;
