Program;Operating systems;License;Costs;Protocols;Codecs;Encryption;Max conference peers;Other abilities;Latest release;
AudioCodes MobilityPLUS;Windows, Android, iOS;Proprietary;?;SIP, RTP, XMPP, STUN, ICE;G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus;TLS, SRTP;Unknown;Voice, video, IM, Group chat, content sharing, SMS and MMS over IP services, native and social network contacts integration, incoming call/IM push notifications.;2014; 4 years ago (2014);
Avaya Application Server 5300 Soft Client;Windows;Proprietary;?;SIP, RTP;Unknown;TLS, SRTP;Unknown;;2.0; 2010; 8 years ago (2010);
Blink;Linux, macOS, Windows;Mixed: free software versions under GNU GPLv3 + shareware versions under gplv3 with exception of including proprietary code;macOS version proprietary on App Store, free version limited to sponsored SIP provider; Windows version proprietary; Linux version open source;ICE, SIP, MSRP, RFB (VNC), XCAP;Opus, speex, G.722, GSM, iLBC, PCMU, PCMA;TLS, SRTP and ZRTP on all versions, OTR/SMP on Linux and macOS only[2];No limit;IM, file transfer, desktop sharing, multi-party conference, wideband;Blink Qt;
CSipSimple;Android;GPL;Free;SIP, ICE, STUN, TURN;Opus, AMR, G.711 (u-law/a-law), speex, G.722, GSM, iLBC, G.729 (need to buy a licensed plugin), iSAC, SILK (narrow-band/wide-band/ultra wide-band);SRTP, SIP over TLS 1.0 and ZRTP;Unknown;SIP SIMPLE messaging, Support for IPv6, Integration with Android operating system with filters and rewriting rules;1.0.2; November 2014; 4 years ago (2014-11);
Cisco IP Communicator[3];Windows;Proprietary;Free (for Cisco SMB Partners only);SCCP (Skinny), SIP, TFTP, HTTP (for XML Services);G.722 wideband, G.711a, G.711u, iLBC, iSAC, G.729a, G.729ab;SRTP;Unlimited (with bridge), 2 otherwise[4];Call Recording, Silent Monitoring, Multiple lines and directory numbers, Configurable speed dial, Calling name and number display, Call Waiting, Call Forward, Call Transfer, Three-Way Calling (conference), Call Park, Call Pickup, Redial, Hold, Barge, Callback, Extension Mobility, Message waiting indicator, iDivert, Meet Me conferencing, Group Pickup, Do Not Disturb, XML Services;8.6.6; April 27, 2016; 2 years ago (2016-04-27);
CounterPath Corporation Bria;Windows, macOS, iOS, Android;Proprietary;;SIP, RTP, XMPP, STUN, ICE;G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus;TLS, SRTP;6 party voice, 3 party video;Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications;5.3.4 July 23, 2018; 4 months ago (2018-07-23);
Discord;macOS, Android, iOS, Windows, Linux;Proprietary;Free, Premium "Nitro" Subscription for Additional Features.;?;Opus;TLS;5,000 soft limit[5];IM, file sharing, in-game overlay;02.01.2018; February 1, 2018; 10 months ago (2018-02-01);
Ekiga;Linux, Windows, OpenSolaris;GPL;Free;SIP, H.323, STUN, Zeroconf, XMPP, RTP;H.263, H.264/MPEG-4 AVC, Theora, iLBC, Speex, SILK, GSM, ...;No;Unknown;Video, IM, LDAP, Call Forwarding, Call Transfer, Auto-answering, PC to phone, phone to PC, Multiple accounts, USP support, Message waiting indicator, SIMPLE-based presence etc.;4.0.1 (February 21, 2013; 5 years ago (2013-02-21)) [±][6];
Empathy;Linux;GPL;Free;SIP, XMPP (Jingle), ICE (STUN-TURN), Zeroconf;Unknown;No;Unknown;IM, multi-user A/V,[7] collaborative applications;3.12.12[8] (May 13, 2016; 2 years ago (2016-05-13)) [±];
Eyeball Chat;Windows;Proprietary;Free;SIP, STUN, ICE, XMPP;Unknown;Yes;5[9];IM, Conferencing, Voice, Video and SIMPLE based presence;Windows 3.2; 2009; 9 years ago (2009);
eyeBeam;Windows;Proprietary;?;SIP-SIMPLE;Unknown;TLS, SRTP;6 party audio; 3 party video;Voice and Video calling; IM; Import Microsoft Outlook Contacts; USB Support; Call Recording and Conferencing;1.5.20.1; March 2010; 8 years ago (2010-03);
Google+ Hangouts;Linux, Windows, macOS, Android, iOS;Proprietary (using libjingle);Free;XMPP;H.264/SVC, H.264/AVC, H.263 and VP8;SRTP;10;Video, chat, screen sharing, with additional tools available as "Hangout Apps".;Google Chrome Web Store extension 2013.626.1614.1 (July 9, 2013; 5 years ago (2013-07-09)) [±] [10];
IBM Sametime;Linux, macOS, Windows, mobile;Proprietary;?;SIP-SIMPLE, T.120;H.323;TLS;Unknown;IM, File transfer, Voice, Presence, Server stored contact list, HTTP tunneling, plugins, embedable in Lotus Notes[11];8.5.2; May 8, 2011; 7 years ago (2011-05-08);
iCall;Linux, macOS, Windows, iOS, Android;Proprietary;Free;SIP, AIM, ICQ, XMPP;Speex, CELT, WebM;TLS, ZRTP;No limit;Video, file transfer, PC to phone, phone to PC, IM (MSN, AIM, ICQ, Yahoo!, XMPP, Google Talk), Voicemail;7.1.522;
Jitsi;Linux, macOS, Windows (all java supported). Experimental Android builds are also available.[12];Apache;Free;SIP-SIMPLE, XMPP-Jingle STUN ICE, TURN;SILK, G.722, Speex, Opus, G.711 (PCMU/PCMA), iLBC, GSM, G.729, H.264, H.263, VP8;ZRTP, SRTP, OTR, TLS;Unknown;Text messaging, audio-video telephony, IPv6 (often broken,[13] P2P not supported[14]), call recording, 64-bit;2.10 (build.5550) (February 5, 2017; 22 months ago (2017-02-05)) [±];
KPhone;Linux (KDE);GPL;Free;SIP, STUN, NAPTR-SRV;Unknown;SRTP;Unknown;Video, voice, IM, external Sessions, IPv6 support for UDP;1.2 (November 2008);
Kiax ver.2;Linux (KDE), Windows;GPL;Free;IAX;Speex, G711, GSM, iLBC;No;Unknown;Multiple calls, DTMF, Hold, Resume, HTTP API;2.1-Beta2 April 26, 2013; 5 years ago (2013-04-26)[15][16];
Librestream Onsight Connect;Windows, Android, iOS;Proprietary;?;SIP, RTP, STUN;G.711, H.264, MPEG, and others;TLS, SRTP;Unknown;Voice, video, conferencing, image sharing, incoming call/IM push notifications.;February 27, 2018; 9 months ago (2018-02-27);
Linphone;Linux, Windows, macOS, Android, iPhone, BlackBerry;GPL;Free;SIP;Speex, Opus, G711, GSM, G.722, VP8 (WebM), H263, MPEG4, Theora and H264 (plugin);TLS, SRTP, ZRTP;Unknown;Video, IM, STUN, IPv6 (disables IPv4 support when enabled, P2P supported only by version 3.5.1-2);3.11.1; March 10, 2017; 20 months ago (2017-03-10);
Messages;macOS;Proprietary;Free, only MacOS and iOS;SIP AIM ICQ XMPP;H263, H264;Unknown;Unknown;Integrated, PBX independent;7.0; July 25, 2012; 6 years ago (2012-07-25);
