Name;SSH1;SSH2;Port forwarding;SFTP;SCP;Supports IPv6;Supports OpenSSH authorized keys;Privilege separation;FIPS 140-2 certified;
Apache MINA SSHD;No;Yes;Yes;Yes;Yes;Yes;Yes;No;?;
Copssh;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[7];?;
CrushFTP Server;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;?;
Dropbear;No;Yes;Yes;Partial;Yes;Yes;Yes;No;?;
Lsh;No;Yes;Yes;Yes;Yes;?;?;?;?;
OpenSSH;No[8];Yes;Yes;Yes;Yes;Yes;Yes;Yes[7];Yes[Note 8];
