;FAT12;FAT16;FAT32;HPFS;ISO 9660;NTFS;UDF (More Info);ReFS;
Windows Phone 8;?;Yes;Yes;No;?;Yes v5;?;No;
Windows Phone 8.1;?;Yes;Yes;No;?;Yes v5;?;No;
Windows 10 Mobile;?;Yes;Yes;No;?;Yes v5;?;?;
