Card Slot;CF;CFast;SM;MMC;Memory Stick;SDSC;SDHC;SDXC;xD;XQD;
I;II;;;MMC;RS-MMC, MMCmobile;Std;PRO;PRO Duo;Micro;SDSC;miniSD;microSD;SDHC;miniSDHC;microSDHC;SDXC;microSDXC;Std;M;H;;
ExpressCard;E[34];E[34];;;E[35];;E[36];E[36];E[35];;E[35];E[35];E[37];;;;;;E[35];E[35];E[35];EM;
PCI Express Mini Card;;;;;;;;;;;;;;;;;;;;;;EM;
mSATA;;;XM;;;;;;;;;;;;;;;;;;;;
PC Card;EM[38];EM[38];;E[39];E[40];;E[40];E[40];;;E[40];;;;;;;;;;;;
PCMCIA;EM[38];EM[38];;E[39];E[40];;E[40];E[40];;;E[40];;;;;;;;;;;;
CF I;+;+;;E;E[41];;E[42];E[42];E[43];;E[41];;;;;;;;E[44];E[44];E[44];;
CF II;;+;;E;E[41];;E[42];E[42];;;E[41];;;;;;;;E[44];E[44];E[44];;
CFast;;;+;;;;;;;;;;;;;;;;;;;;
SM;;;;+;;;;;;;;;;;;;;;X[45];X[45];X[45];;
xD;;;;;;;;;;;;;E[46];;;;;;+;+;+;;
XQD;;;;;;;;;;;;;;;;;;;;;;+;
MMC;;;;;+;M;;;;;D[47];;;;;;;;;;;;
MS;;;;;X[48];;+;+;M;M;X[48];X[48];E[49];;;;;;;;;;
SDSC;;;;;D;M;;;;;+;EM;EM;;;;;;;;;;
miniSD;;;;;;;;;;;;+;EM;;;;;;;;;;
microSD;;;;;;;;;;;;;+;;;;;;;;;;
SDHC;;;;;;;;;;;D[50];EM;EM;+;EM;EM;;;;;;;
miniSDHC;;;;;;;;;;;;D[50];EM;;+;EM;;;;;;;
microSDHC;;;;;;;;;;;;;D[50];;;+;;;;;;;
SDXC;;uscb;;;;;;;;;D[51];EM;EM;D[51];EM;EM;+;EM;;;;;
microSDXC;;;;;;;;;;;;;D[51];;;D[51];;+;;;;;
IDE PATA;EM[52];EM[52];;;;;;;;;E[53][54];;;;;;;;;;;;
Serial ATA;E[55];E[55];EM;;;;;;;;;;;;;;;;;;;;
PCI Express;;;;;;;;;;;;;;;;;;;;;;EM;
USB;X[56];X[56];;X[56];X[56];;X[56];X[56];E[57];E[57];E[58];;E[59];;;;;;X[56];X[56];X[56];X;
Floppy;;;;E[60];E;E + M;E;E;;;;;;;;;;;;;;
Nintendo DS Slot-1;;;;;;;;;;;;;E[61];;;;;;;;;;
Nintendo DS Slot-2;;;;;;;;;;;E[62];E[62];E[62];;;;;;;;;;
