File system;Host OS;Online grow;Offline grow;Online shrink;Offline shrink;
Btrfs[46];Linux;Yes;Yes;Yes;Yes;
ext2[47];Linux;No;Yes;No;Yes;
ext3[47];Linux;Yes;Yes;No;Yes;
ext4[47];Linux;Yes;Yes;No;Yes;
NOVA;Linux;No;No;No;No;
FAT16 / FAT16B / FAT16X;misc.;No;Yes[48];No;Yes[48];
FAT32 / FAT32X;misc.;No;Yes[48];No;Yes[48];
F2FS[49];Linux;No;Yes;No;No;
HFS+;Linux;No;No;No;No;
HFS+;macOS;Yes;No;Yes;No;
JFS[50];Linux;No;Yes;No;No;
JFS2;AIX;Yes;?;Yes;?;
Lustre[51];Linux;Yes;?;No;No;
NILFS[52];Linux;Yes;No;Yes;No;
NTFS[53];Linux;No;Yes;No;Yes;
NTFS;Windows;Yes;Yes;Yes;Yes;
APFS;macOS;?;?;?;?;
ZFS;misc.;Yes;No;No;No;
Reiser4[54];Linux;Yes;Yes;No;Yes;
ReiserFS[55];Linux;Yes;Yes;No;Yes;
XFS[56];Linux;Yes;No;No;No;
ReFS;Windows;Yes;?;No;?;
UFS2[57];FreeBSD;Yes (FreeBSD 10.0-RELEASE or later);Yes;No;No;
HAMMER;DragonflyBSD;?;?;?;?;
SquashFS;Linux;No;No;No;No;
