Kernel name;Used in;Creator;Executable format (also see section below);Type;Integrated firewall;SMP support;Multiple architecture support (also see section below).;Multitasking;Virtualization;Security;Profiling/Debugging;Soft real-time support;Hard real-time support;Can keep RTC in UT[2];
Agnix [1];?;?;?;?;?;?;?;Yes;?;?;?;?;?;?;
Amiga Exec;AmigaOS;Commodore International;HUNK;Exokernel (atypical)[3];No;No;No;Yes;No;No;Yes;No;No;No;
Amiga Exec SG (2nd Generation);AmigaOS 4;Hyperion Entertainment;ELF/HUNK;Exokernel (atypical);No;No;No;Yes;No;No;Yes;No;No;?;
DragonFly BSD kernel;DragonFly BSD;Matt Dillon;ELF;hybrid;Ipfirewall, PF;Yes;No;Yes;chroot, jail, vkernel;Unix permissions;DDB, KGDB;?;?;?;
FreeBSD kernel;FreeBSD, Debian GNU/kFreeBSD, Gentoo/FreeBSD, Orbis OS;The FreeBSD Project;ELF, others - platform dependent;monolithic;IPFilter, Ipfirewall, PF;Yes;Yes;Yes;chroot, jail, bhyve;Unix permissions, POSIX.1e and NFSv4 ACLs,[4] Capsicum, TrustedBSD MAC, OpenBSM;KDB, DDB, KGDB, DTrace, hwpmc;Yes;?;Yes;
GNU Hurd [2];GNU/Hurd (Arch Hurd, Debian GNU/Hurd, NixOS[5]);GNU Project/Free Software Foundation;ELF;multiserver microkernel;No;partial;No;Yes;chroot, Xen;Unix permissions, POSIX ACL, POSIX Capabilities;?;?;?;?;
GNU Mach [3];part of GNU Hurd, used in GNU/Hurd;GNU Project/Free Software Foundation;ELF;microkernel;No;partial;No;Yes;chroot, Xen;Unix permissions, POSIX ACL, POSIX Capabilities;?;?;?;?;
Inferno kernel;Inferno;Bell Labs / Vita Nuova Holdings;?;virtual machine;?;Yes;Yes;Yes;chroot, Xen;?;?;?;?;?;
L4;L4;Jochen Liedtke;No;microkernel;No;Yes;Yes;Yes;Yes;Afterburner/L4 [4], Marzipan [5], capabilities in L4/Fiasco[6];L4/Fiasco[6];L4/Fiasco[6];?;?;
