Programming language;Default base index;Specifiable index type[9];Specifiable base index;Bound check;Multidimensional;Dynamically-sized;Vectorized operations;
Ada;index type[10];yes;yes;checked;yes;init[11];some, others definable[12];
ALGOL 68;1;no[13];yes;varies;yes;yes;user definable;
APL;1;?;0 or 1[14];checked;yes;yes;yes;
AWK;1;yes, implicitly;no;unchecked;yes, as delimited string;yes, rehashed;no;
BASIC;0;?;no;checked;no;init[11];?;
C;0;no;no[15];unchecked;partially;init,[11][16] heap[17];no;
Ch;0;no;no;checked;yes, also array of array[18];init,[11][16] heap[17];yes;
C++[12];0;no;no[15];unchecked;yes, also array of array[18];heap[17];no;
C#;0;no;partial[19];checked;yes;heap[17][20];yes (LINQ select);
CFML;1;no;no;checked;yes, also array of array[18];yes;no;
COBOL;1;no[21];no;checked;array of array[18][22];no[23];some intrinsics;
Cobra;0;no;no;checked;array of array[18];heap;?;
Common Lisp;0;?;no;checked[24];yes;yes;yes (map or map-into);
D;0;yes[25];no;varies[26];yes;yes;?;
F#;0;no;partial[19];checked;yes;heap[17][20];yes (map);
FreeBASIC;0;no;yes;checked;yes;init,[11] init[27];?;
Fortran;1;yes;yes;varies[28];yes;yes;yes;
FoxPro;1;?;no;checked;yes;yes;?;
Go;0;no;no;checked;array of array[18];no[29];no;
Hack;0;yes;yes;checked;yes;yes;yes;
Haskell;0;yes[30];yes;checked;yes, also array of array[18];init[11];?;
IDL;0;?;no;checked;yes;yes;yes;
ISLISP;0;?;no;checked;yes;init[11];yes (map or map-into);
J;0;?;no;checked;yes;yes;yes;
Java[12];0;no;no;checked;array of array[18];init[11];?;
JavaScript;0;no;no;checked[31];array of array[18];yes;yes;
Julia;1;yes;no;checked;yes;yes;yes;
Lingo;1;?;?;unchecked;yes;yes;yes;
Lua;1;?;partial[32];checked;array of array[18];yes;?;
Mathematica;1;no;no;checked;yes;yes;yes;
MATLAB;1;?;no;checked;yes[33];yes;yes;
Oberon;0;?;no;checked;yes;no;?;
Oberon-2;0;?;no;checked;yes;yes;?;
Objective-C[12];0;no;no;checked;array of array[18];yes;no;
OCaml;0;no;no;checked by default;array of array[18];init[11];?;
Pascal, Object Pascal;index type[10];yes;yes;varies[34];yes;varies[35];some;
Perl;0;no;yes ($[);checked[31];array of array[18];yes;no[36];
Perl 6;0;no;no;checked[31];yes;yes;yes;
PHP;0;yes[37];yes[37];checked[37];yes;yes;yes;
PL/I;1;?;yes;checked;yes;no;?;
Python;0;no;no;checked;array of array[18];yes;no[38];
RPG;1;no;no;?;no;no;?;
R;1;?;?;?;?;?;?;
Ruby;0;no;no;checked[31];array of array[18];yes;?;
Sass;1;no;no;checked;array of array[18];init[26];?;
S-Lang;0;?;no;checked;yes;yes;yes;
Scala;0;no;no;checked;array of array[18];init[11];yes (map);
Scheme;0;?;no;checked;array of array[18];init[11];yes (map);
Smalltalk[12];1;?;no;checked;array of array[18];yes[39];?;
Swift;0;no;no;checked;array of array[18];yes;?;
Visual Basic;0;no;yes;checked;yes;yes;?;
Visual Basic .NET;0;no;partial[19];checked;yes;yes;yes (LINQ select);
Wolfram Language;1;no;no;checked;yes;yes;yes;
Windows PowerShell;0;no;no;checked;yes;heap;?;
Xojo;0;no;no;checked;yes;yes;no;
XPath/XQuery;1;no;no;checked;array of array[2][18];yes;yes;
Programming language;Default base index;Specifiable index type[9];Specifiable base index;Bound check;Multidimensional;Dynamically-sized;Vectorized operations;
