Distribution;Size of media (MB);RAM use (MB);Boots from CD;Boots from DVD;Installable live CD/DVD;Installable from USB;
Arch Linux;7002742000000000000?742;;Yes;Yes;Yes;Yes;
AUSTRUMI;7002301000000000000?301;;Yes;Yes;Yes;Yes;
BLAG Linux and GNU;7002696000000000000?696;?;Yes;No;?;;
Bodhi Linux;7003102400000000000?1,024;7001800000000000000?80;Yes;Yes;Yes;Yes;
CentOS;7002603000000000000?603 (Minimal) 7003409600000000000?4,096 (DVD);;Yes;Yes;Yes (installable since 6.0);Yes;
Chakra;7003215000000000000?2,150;;No;Yes;Yes;Yes;
Debian;7002958000000000000?958;;Yes;Yes;Yes;Yes;
Devuan;;7002868000000000000?868;Yes;Yes;Yes;Yes;
Dragora GNU/Linux-Libre;7002655000000000000?655;?;Yes;?;?;?;
dyne:bolic;7003165000000000000?1,650;?;up to version 2.x;Yes;?;?;
Fedora;7003143400000000000?1,434;7002256000000000000?256 to 7003102400000000000?1,024;Yes;Yes;Yes;Yes;
Gentoo;7002260000000000000?260 (Minimal) 7003204800000000000?2,048 (Live DVD);up to 7002128000000000000?128;Yes;Yes;Yes;Yes;
gNewSense[152];7003120000000000000?1,200;7002512000000000000?512;?;?;Yes;?;
Grml;7002460000000000000?460;7001320000000000000?32 to 7002128000000000000?128;Yes;No;Yes;Yes;
Guix System Distribution[153];7002987000000000000?987;6999270000000000000?0.27;No;Yes;Yes;Yes;
Hyperbola GNU/Linux-libre;7002663000000000000?663 and 7002692000000000000?692;?;Yes;Yes;Yes;Yes;
Knoppix CD;7002700000000000000?700;7002128000000000000?128 to 7002320000000000000?320;Yes;Yes;Only DVD edition is maintained;;
Knoppix DVD;7003481300000000000?4,813;7002128000000000000?128 to 7002500000000000000?500;No;Yes;;;
LibreCMC;?;?;No;No;No;No;
Mandriva Linux One;7002700000000000000?700;7002128000000000000?128 to 7002768000000000000?768;Yes;Yes;Yes;Yes;
Manjaro Linux;7002473000000000000?473 to 7003220000000000000?2,200[154];7002256000000000000?256 to 7003102400000000000?1,024;Yes;Yes;Yes;Yes;
MEPIS;7002700000000000000?700 to 7003400000000000000?4,000;7002128000000000000?128 to 7002512000000000000?512;Yes;Yes;Yes;Yes;
Musix GNU+Linux;7003200000000000000?2,000;?;No;Yes;Yes;Yes;
Nanolinux;7001180000000000000?18;7001640000000000000??64;Yes;Yes;Yes;Yes;
openGEU;7002700000000000000?700;7002192000000000000?192 to 7002512000000000000?512;Yes;;Yes;;
openSUSE (Not 42.1);7002700000000000000?700;7002128000000000000?128 to 7002768000000000000?768;Yes;Yes;Yes;Yes;
OpenWrt;7000400000000000000?min 4;7001160000000000000?min 16;No;No;No;No;
Parabola GNU/Linux-libre;7002400000000000000?400 to 7003330000000000000?3,300;?;Yes;Yes;Yes;Yes;
Pardus;7003125600000000000?1,256 to 7003127600000000000?1,276;7002256000000000000?256 to 7003102400000000000?1,024;Yes;Yes;Yes;Yes;
PCLinuxOS;7002130000000000000?130 to 7002700000000000000?700;7001960000000000000?96 to 7002512000000000000?512;Yes;Yes;Yes;Yes;
Pentoo;7002666000000000000?666 and 7002700000000000000?700;7001480000000000000?48 to 7001960000000000000?96;Yes;Yes;By hand[155];By hand;
Porteus;?;?;?;?;Yes;Yes;
Puppy Linux (Slacko);7002235000000000000?235;7001320000000000000?32 to 7002192000000000000?192;Yes;Yes;Yes;Yes;
Puredyne;7002542000000000000?542;;Yes;Yes;Yes;Yes;
Sabayon Linux Live CD;7002695000000000000?695;;Yes;Yes;Yes;Yes;
Sabayon Linux Live DVD;7003240000000000000?2,400;;No;Yes;Yes;Yes;
Scientific Linux;7002431000000000000?431 to 7003230000000000000?2,300[156];7002640000000000000?640;Yes;Yes;Yes;Yes;
Slax;7002200000000000000?200;7001960000000000000?96 to 7002320000000000000?320;Yes;Yes;;Yes;
Solus;7003120000000000000?1,200;7003102400000000000?1,024;No;Yes;Yes;Yes;
SystemRescueCD;7002459000000000000?459;;Yes;Yes;Yes;Yes;
SliTaz GNU/Linux;7001350000000000000?35;7001240000000000000?24 to 7002192000000000000?192;Yes;Yes;Yes;Yes;
Tails;7002900000000000000??900;7003102400000000000??1,024;No;Yes;Yes;Yes (when run from DVD);
Tiny Core Linux;7001160000000000000?16;7001460000000000000?46;Yes;Yes;Yes;Yes;
Tiny SliTaz;7000144000000000000?1.44;7000400000000000000?4;Yes;Yes;By SliTaz;By SliTaz;
Tor-ramdisk;7000500000000000000?5;7002256000000000000?256 or >[157];Yes;Yes;Yes;Yes;
Trisquel;7003150000000000000?1,500[158];7002384000000000000?384;Yes;Yes;Yes;Yes;
TurnKey GNU/Linux Core (base) appliance ISO;7002212000000000000?212;7002173000000000000?~173;Yes;Yes;Yes;Yes;
Ubuntu;7003170000000000000?1,700[159];7002384000000000000?384;Yes;Yes;Yes;Yes;
Ututo;7003350000000000000?3,500;?;No;Yes;Yes;?;
Edubuntu;7003290000000000000?2,900[160];;Yes;Yes;Yes;;
Kubuntu;7003140000000000000?1,400[161];7002384000000000000?384;Yes;Yes;Yes;Yes;
XBMC Live;7002700000000000000?700;7002256000000000000?256 to 7003102400000000000?1,024;Yes;No;Yes;Yes;
Zentyal;7002600000000000000?600;7002256000000000000?256;Yes;Yes;Yes;Yes;
Xubuntu;7003120000000000000?1,200[162];7002256000000000000?256;Yes;Yes;Yes;Yes;
Distribution;Size of media (MB);RAM use (MB);Boots from CD;Boots from DVD;Installable live CD/DVD;Installable from USB;
