Origin;Spanish;Portuguese;Meaning;
argillam;arcilla;argila;'clay';
blandum;blando;brando;'soft';
c?seum;queso;queijo;'cheese';
oculum ? oc'lu;ojo;olho;'eye';
hominem ? hom'ne;hombre;homem;'man';
tremul?re ? trem'lare;temblar;tremer;'to tremble';
