Name;IP SLA Reports;Logical Grouping;Trending;Trend Prediction;Auto Discovery;Agentless;SNMP;Syslog;Plugins;Triggers / Alerts;MIB Compiler;WebApp;Distributed Monitoring;Inventory;Platform;Data Storage Method;License;Maps;Access Control;IPv6;Latest release date;Latest release version;
AdRem NetCrunch;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Via remote probes;Yes;Unknown;Proprietary;Commercial;Yes;Yes;Yes;2018-05;10.3.1;
Argus - The all seeing;Yes;Yes;Yes;No;No;Supported;Yes;Yes;Yes;Yes;No;Viewing, Acknowledging, Reporting;Yes;Unknown;Perl;Flat file, Berkeley DB;Artistic License;No;Yes;Yes;2013-02;3.7;
Augur-TrapStation;No;Yes;Yes;No;Yes;Yes;v1-3 traps;Yes;No;Yes;No;Full Control;Yes;No;Linux, UNIX, Mac OS, Windows;Proprietary + JSON export;Commercial;No;Yes;Yes;2018-11;14;
Avaya VPFM;Yes;Yes;Yes;No;Yes;No;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Unknown;MySQL;Commercial;Yes;Yes;Yes;
Cacti;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;PHP;RRDtool, MySQL;GNU GPL;Via plugin;Yes;Yes;2018-04-15;1.1.38;
Check MK;Via plugin;Yes;Yes;Yes;Via plugin;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;C, Python;RRDtool;GNU GPL;Via plugin;Yes;Yes;2018-12-01;1.5.0p9;
collectd;No;No;No;No;Push model; multicast possible;Supported;Yes;Yes;Yes;Yes;No;Viewing;Yes;No;C;RRDtool;GNU GPL;No;Apache ACL;Yes;2016-10-07;5.6.1;
Cruz;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Java, C++, .NET;MySQL, Oracle;Commercial;Yes;Yes;Yes;2018-02;7.5;
Entuity;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;C, C++, Java;MariaDB;Commercial;Yes;Yes;Yes;2017-12-22;16.5 P3;
FreeNATS;Yes;Yes;No;No;Yes;No;No;Via plugin;Yes;In PHP Code;No;Full Control;No;No;PHP;MySQL;GNU GPL;No;Yes;Unknown;2011-07-09;1.13.3b;
Ganglia;No;Yes;Yes;No;Via gmond check in;No;Via plugin;No;Yes;No;No;Viewing;Yes;Unknown;C, PHP;RRDtool;BSD;Yes;No;Unknown;2016-06-14;3.7.2;
Hinemos;Yes;Yes;Yes;Yes;Yes;Supported;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;Java;PostgreSQL;GNU GPL;Yes;Yes;Yes;2017-06-09;6.0.1;
HPE Openview Network Node Manager (NNMi);Yes;Yes;Yes;Yes;Yes;Yes;Yes;Via integration;Yes;Yes;No;Full Control;Yes;Yes;C++, Java, Perl;PostgreSQL, Oracle Database;Commercial;Yes;Yes;Yes;2016-08;10.20;
Icinga;Via plugin;Yes;Yes;No;Via plugin;Supported;Via plugin;Via plugin;Yes;Yes;No;Full Control;Yes;Via plugin;C[1];MySQL, PostgreSQL, Oracle Database;GNU GPL;;Yes;Yes;2018-01-17;2.8.1;
InterMapper;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Viewing;Yes;Yes;Windows, Linux & Mac OS;PostgreSQL;Limited free, Commercial;Yes;Yes;Yes;2017-07;6.1.5;
Ipswitch: WhatsUp Gold;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Full Control;Yes;Yes;C++, Java;MS SQL;Commercial;Yes;Yes;Yes;2017-08-23;17.1.1;
isyVmon;Yes;Yes;Yes;No;Via plugin;No;Yes;Yes;Yes;Yes;No;Full Control;Yes;Via plugin;PHP;RRDtool, MySQL;Limited free, Commercial;Via plugin;Yes;Yes;
Kaseya Network Monitor;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Full Control;Yes;Yes;Unknown;FirebirdSQL;Commercial;Yes;Yes;Unknown;
Munin;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Partial;No;Viewing;Via nodes;Unknown;Perl;RRDtool;GNU GPL;Unknown;Unknown;Yes;2016-09-19;2.0.26;
