Gender of possessed item;Spanish;Portuguese;
Adjective;Pronoun;Adjective;Pronoun;
Feminine;tu/su casa "your house";la tuya/la suya "yours";(a) sua casa "your house";a sua "yours";
Masculine;tu/su libro "your book";el tuyo /el suyo "yours";(o) seu livro "your book";o seu "yours";
