Title;Publisher;First published;Latest edition;Year;Pages;Usage examples (approx.);Main dialect;
Cambridge Advanced Learner's Dictionary;Cambridge University Press;2003[3];4th ( ISBN 9781107619500);2013;1,856;140,000;British;
Collins COBUILD Advanced Dictionary;Collins Cobuild;1987;9th ( ISBN 9780008253219);2018;1,904;;British;
Longman Dictionary of Contemporary English;Pearson-Longman;1978;6th ( ISBN 9781447954194);2014;2,224;165,000;British;
Macmillan English Dictionary for Advanced Learners;Macmillan Education;2002;2nd ( ISBN 9781405025263);2012;1,748;;British;
Merriam-Webster's Advanced Learner's English Dictionary;Merriam-Webster;2008;2nd ( ISBN 9780877797364);2016;1,994;160,000;American;
Oxford Advanced Learner's Dictionary;Oxford University Press;1948;8th ( ISBN 9780194799003);2010;1,796;185,000;British;
