Manager;Latest stable release;License / Price (USD);Adware, Malware & Spyware[1];CLI;GUI;Web;Linux;Windows;Mac OS X;
4K Video Downloader;4.4.7.2307 (May 30, 2018; 6 months ago (2018-05-30));Proprietary / Freemium;No;No;Yes;No;Yes;Yes;Yes;
BitComet;1.51 (June 12, 2018; 6 months ago (2018-06-12)) [±][2]                                                                ;Proprietary / freeware;Adware from version 0.85 to 0.97; Potentially sensitive information reported to BC Servers;Partial [3];Yes;Yes[citation needed];No;Yes;No;
DownloadStudio;10.0.4.0 (December 28, 2017; 11 months ago (2017-12-28));Shareware / $24.95;None Known;Yes;Yes;Yes;No;Yes;No;
DownThemAll!;3.0.8 (September 29, 2016; 2 years ago (2016-09-29)) [±][4];GPL /;None Known;No;Yes;No;Requires Pale Moon or an old version of Firefox;Requires Pale Moon or an old version of Firefox;Requires Pale Moon or an old version of Firefox;
FlashGet;3.7.0.1195 (January 10, 2012; 6 years ago (2012-01-10));Proprietary / Freeware;No;No;Yes;Yes;No;Yes;No;
Folx;5.0.13709 (March 28, 2018; 8 months ago (2018-03-28)) [±][5] 5.0.13493 (May 26, 2016; 2 years ago (2016-05-26)) [±];Shareware / $19.95;No;Yes;Yes;Yes;No;No;Yes;
Free Download Manager;5.1.37 (build 7274) (September 28, 2018; 2 months ago (2018-09-28)) [±][6];Proprietary / Freeware after version 5.0 and newer;No;No;Yes;No;No;Yes;Yes;
Free Studio;6.6.35.323 (March 23, 2017; 20 months ago (2017-03-23)[7][8]);Proprietary / Freeware;No;No;Yes;No;Yes;Yes;Yes;
Freemake Video Downloader;3.8.0 (May 12, 2016; 2 years ago (2016-05-12));Proprietary / Freeware;Offers to install sponsored software upon installation changing default search engine and browsers homepage;No;Yes;No;No;Yes;No;
GetRight;6.5 (January 24, 2011; 7 years ago (2011-01-24)) [±][9];Proprietary / $49.95 for Pro;No;Yes;Yes;Yes;No;Yes;No;
Go!Zilla;5.03 (February 1, 2008; 10 years ago (2008-02-01)[10]);Proprietary / $19.95;None as of Version 5; Aureate adware prior to that;No;Yes;Yes;No;Yes;Yes;
Internet Download Accelerator;6.13.1.1557 (May 15, 2017; 18 months ago (2017-05-15));Proprietary / Freeware, $9.95 single/$24.95 family pack for Pro;Adware on free version;Yes;Yes;No;No;Yes;No;
Internet Download Manager;6.31 Build 3 (July 9, 2018; 5 months ago (2018-07-09)[11]);Proprietary / $24.95 lifetime for 1 PC;None Known;Yes;Yes;No;No;Yes;No;
JDownloader;2 (7 February 2017; 21 months ago (2017-02-07));GPL /;Yes, comes bundled but can install even when not ticking yes;Yes;Yes;Yes;Yes;Yes;Yes;
0.9.581 (19 January 2011; 7 years ago (2011-01-19));GPL /;Adware Mobogenie (optional install); Adware browser hijacker Mysearchdial (optional install);No;Yes;Yes;Yes;Yes;Yes;
0.7.3-3 (8 May 2006; 12 years ago (2006-05-08));GPLv2 /;No;Yes;No;No;Yes;Yes;Yes;
KGet;4.14.3 (November 11, 2014; 4 years ago (2014-11-11)) [±][12];GPL /;None Known;Yes;Yes;No;Yes;Part of KDE for Windows;Part of KDE for Mac;
MiniDM;2.5.1 (June 2, 2010; 8 years ago (2010-06-02)[13]);Proprietary / Freeware;None Known;No;Yes;No;No;Yes;No;
MLDonkey;3.1.5 (March 22, 2014; 4 years ago (2014-03-22)[14]) [±];GPL /;None Known;Yes;Yes;Yes;Yes;Yes;No;
Shareaza;2.7.10.2 (September 18, 2017; 14 months ago (2017-09-18)[15]) [±];GPL /;Original Client: None Known;Yes;Yes;Yes;No;Yes;No;
Manager;Latest stable release;License / Price (USD);Adware, Malware & Spyware[1];CLI;GUI;Web;Linux;Windows;Mac OS X;
