Name;Description/Focus;Registered users;Alexa ranking;Free;Premium;Supports same-sex connections;Supports non-monogamous connections;Messaging other users;
Adam4Adam;Connects men with men "for friendship, romance, or a hot hookup".;;7003493800000000000?4,938[1];Partial;Yes;Yes (exclusively);?;Free;
Adult FriendFinder;Members can connect with other adult members based on profiles.;7007300000000000000?30,000,000, as of 2006[2];7003176100000000000?1,761[3];Partial;Yes/No; Free users can respond to contact but cannot initiate contact. Paid users have added benefits.;Yes;Yes;Non-free;
AnastasiaDate;Connects Western men with women from Russia and former Soviet Republics – CIS;7006400000000000000?4,000,000, as of 2013[4];7004112750000000000?11,275[5];Non-free;Yes;Yes;?;Non-free;
Ashley Madison;Members are matched up with other married adult members based on profiles.;7007178150000000000?17,815,000, as of 2013[6];7003803800000000000?8,038[7];Partial;Yes/No; Free users can view profiles and respond to contact but cannot initiate contact. Paid users have added benefits.;Yes;Yes;Non-free;
Badoo;Badoo enable users to meet new people in their area for chat, dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms.;7008403600000000000?403,600,000 as of Oct 2018[8];7002817000000000000?817[9];Partial;Yes/No; Charge for higher prominence, higher limits, invisibility, etc.;Yes;?;Partial;
BeautifulPeople.com;Dating website where membership is based on a vote, in which existing members rate how attractive they perceive prospective members to be.;7005800000000000000?800,000 as of 2015[10];7005236914000000000?236,914[11];Partial;Yes; free profile but subscription required for most features including messaging.;Yes;?;Non-free;
Bumble;Dating app where women send the first message (for heterosexual matches);7007220000000000000?22,000,000 as of 2017[12];;Free;Yes;Yes;?;Free;
Christian Connection;For Christian singles from the UK, Ireland, Australia, New Zealand, USA, Canada and Singapore;;7004233120000000000?23,312[13];Partial; Free trial. Free basic profile members can still see photos, edit profiles, search, use discussion boards.;Yes/No; Free basic profile members can still see photos, edit profiles, search, use discussion board. Paid members can freely message, start discussion thread, no daily limit of discussion board entries.;Yes;;Yes/No Basic profile members can messaging other users with pre-set replies.;
ChristianMingle;Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong.;;7004444190000000000?44,419[14];Non-free;;Yes;?;Non-free;
Coffee Meets Bagel;App providing daily curated matches based on Facebook connections;;7005127543000000000?127,543[15];Free;Yes/No: "Beans" (in-app currency) unlock extra features, such as matching with users who aren't in your curated list. Premium membership enables activity reports, read receipts, extra beans.[16];Yes;;Free;
Compatible Partners;eHarmony's service for same-sex relationships;;7005434220000000000?434,220[17];Non-free;Yes;Yes (exclusively);?;Non-free;
Cupid.com;Dating website for people who are looking for romantic relationships. Cupid.com is owned by NSI Holdings Ltd.;7006800000000000000?8,000,000 as of 2016[citation needed];7004962260000000000?96,226[18];Partial;Yes/No; Free: registration, profile, search, pictures uploading, send and receive winks, chat rooms, promo activities. VIP users can send and reply to mails, view full-size personal photos;Yes;No;Non-free;
DateMySchool;Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for.;7005179000000000000?179,000 as of 2013[19];7005796871000000000?796,871[20];Partial;Yes/No; All users can view profiles. Free messaging and status posting for undergraduates (5 messages/day limit). Alumni cannot initiate or respond to contact or post status updates. All Paid users can message and post and they also have added benefits.;Yes;?;Partial;
DNA Romance / SingldOut;Web App providing curated matches based on "chemistry attraction", personality compatibility and you also see a photograph. SingldOut now lives on as DNA-Romance.com the first site to bring predictions of "chemical attraction" to online dating.;;7006157836900000000?1,578,369[21];Partial;Yes; free profile.;Yes;;?;Free;
eHarmony;Dating site based upon pre-screening using personality tests.;;7004104480000000000?10,448[22];Partial;Yes; free profile but subscription required for most features including messaging.;No; redirects gay and lesbian visitors to Compatible Partners, their same-sex dating service.[23];?;Non-free;
Gaydar;Profile-based dating website for gay and bisexual men, women, and couples.;;7005923130000000000?923,130[24];Free: chat and search.;Yes/No;Yes (exclusively);?;Free;
GayRomeo / PlanetRomeo;Worldwide social network, instant messaging and dating community for gay, bisexual and transgender men.;7006674000000000000?6,740,000 registered and 7006110700000000000?1,107,000 active (last 6 weeks)[25];7005707590000000000?707,590[26];Free: communication, profile and picture views, search engine;Yes/No: video downloads, higher database limits, deactivation of advertising;Yes (exclusively);?;Free;
Gleeden;Social network, instant messaging and dating community for extra-marital relationships.;;7004549620000000000?54,962[27];Non-free: Costs credits to send and read messages unlimited amount of times to one user;Yes/No: Premium gives higher database limits, deactivation of advertising;Yes;?;Non-free;
Grindr;Geosocial networking application based on Android and iOS.;3,600,000 daily active users as of 2018[28];7004771330000000000?77,133[29];Free;Yes;Yes (exclusively);Yes;Free;
Her[30];Geosocial networking application based on Android and iOS with Facebook integration. Men are not allowed to create profiles on the platform.;;7006936570300000000?9,365,703[31];Free;Free;Yes (exclusively);?;;
JDate;Dating site that serves people of a Jewish background as well as those interested in them.;;7004770170000000000?77,017[32];Non-free;;Yes;?;Non-free;
Lovestruck.com;Online dating for single professionals in UK, Hong Kong and Singapore;7005300000000000000?300,000 registered as of 2012[33];7005219424000000000?219,424[34];Non-free;Yes;Yes;?;Non-free;
Mamba;Social-network-like dating site, primarily CIS/former Soviet Union, but some international presence. Primary language is Russian, but all languages welcome (and searchable). Caters to all audiences.;7007116734510000000?11,673,451 as of 2012[35];7003199900000000000?1,999[36] for named portal; also 3-5% of mail.ru (#31) and rambler.ru (#191), which offer access to the same services and communication with the entire user pool through love.mail.ru and love.rambler.ru subdomains;Free: communication, profile and picture views, simpler engine, blogs;Yes: Premium content like additional search criteria and double appearances in others' relevant searches for "VIP membership". Single payments for regional advertising of profile (one-time appearance in scrolling banner for $1 – user picture, link, short text for mouseover; bidding war for stationary second banner + cost of $1/minute).;Yes;?;Free;
Manhunt;Profile-based dating website for men seeking men;;7004102140000000000?10,214[37];Free: Messaging, search, 20 profile views per day, video chat.;Yes/No: Manhunt VIP includes unlimited profile views, view full-sized profile photos, unlimited buddies, unlimited blocks, saved searches;Yes (exclusively);?;Free;
Match.com;;7007960000000000000?96,000,000 registered; as of 2010[38] 1,377,000 active (2009)[39];7003169000000000000?1,690[40];Non-free;Yes;Yes;?;Non-free;
Matchmaker.com;Dating service founded in 1986;;7005259771000000000?259,771[41];;;Yes;?;;
Meetic;European online dating service owned by IAC;7007420000000000000?42,000,000 registered as of 2011[42];7004275890000000000?27,589[43];Non-free;Yes;Yes;;;
Moonit;Offers compatibility match according to user' birthdate.;7006200000000000000?2,000,000 registered; as of 2014[44];7005747471000000000?747,471[45];Partial;Yes;Yes;?;Partial;
OkCupid (OKC);Uses answers from user-generated questions to find matches that conform to a user's stated preferences.;7007300000000000000?30,000,000+ active as of 2013[46];7003104400000000000?1,044[47];Free;Yes/No; Free to join, search, messaging, and chat. Non essential features like sponsored profile promotion available for paid "A-List" members.[48][49];Yes;Yes;Free;
Parship;Dating site for people looking for a long-term relationship, using a personality test. Available in Europe and Mexico.;;7005224512000000000?224,512[50];Partial;Yes; free profile but subscription required for most features including messaging.;Yes;;Non-free;
Perfectmatch.com;This dating website is using heuristic algorithms to find matches.;;7006230098900000000?2,300,989[51];Non-free;Yes;Yes;;Non-free;
PlentyofFish (POF);Dating site mostly active in United States, Canada, United Kingdom and Brazil;7008100000000000000?100,000,000 registered as of 2015[52];7002878000000000000?878[53];Free;Yes/No; While it is free to use, POF offers premium services as part of their upgraded membership, such as seeing the date and time a user viewed your profile and allowing you to see whether a user read and/or deleted your message.[54];Yes;;Free;
Right Stuff;Dating site for graduates and faculty of Ivy League, Seven Sisters, and about 50 similar colleges and universities and medical schools;4900;7006452250200000000?4,522,502[55];No;$50 Fee for 6 month membership, plus $3 for profile of members of interest;?;?;Free;
RocknRollDating;Dating site for musical compatible couples. Supports heterosexual, same sex and polyamorous relationships.;7003600000000000000?6,000 as of 2011;N/A[56];Free;No;Yes;?;Free;
ShakeMyWorld;Swedish. Listed as one of the top 100 Swedish web sites of 2008.[57];;N/A[58];Non-free;Non-free based on user creating activities.;Yes;;;
SpeedDate.com;Online speed dating site, where users meet via text, audio, and video chat;7006900000000000000?9,000,000 registered as of 2010[38];7005299586000000000?299,586[59];Partial;Premium users can continue communicating after unlimited free speed dates;Yes;;;
Spray Date;Run by Spray Network AB;;N/A[60];Partial;Premium users can see larger images and have more search options;Yes;;;
Tastebuds.fm;Utilizes tastes in music;;7005115370000000000?115,370[61];Non-free (As of 2014[update]);Yes; Subscription required to send or receive messages.;Yes;;Used to be free and is free for users that joined before it became non-free. Not free for new users;
Tawkify;Has human matchmakers instead of computer algorithms to select matches.[62];;7005169895000000000?169,895[63];Non-free;Non-free based on user creating activities.;Yes;;Non-free;
Tinder;Mobile single dating site;7007500000000000000?50,000,000 registered; as of 2015[64];7004148700000000000?14,870[65];Free;Yes – premium users get unlimited swipes, can undo a no-swipe, can browse in other locations, in addition to some other preferences and features;Yes;?;Free;
Zoosk;Has an integration with Facebook community.[66];7007500000000000000?50,000,000 as of 2011[67];7003515300000000000?5,153[68];Non-free;Yes/No; Searching and viewing partial profiles is included with free account like most dating sites, fee or monthly subscription for full communication with other members.[69];Yes;;Non-free;
