Name;Parsing algorithm;Input grammar notation;Boolean grammar capabilities;Development platform;License;
LuZc[5][6];delta chain;modular;Conjunctive, not complimentary;POSIX;proprietary;
bnf2xml;recursive descent (is a text filter output is xml);simple bnf[clarification needed] grammar (input matching), output is xml;?;beta, and not a full-fledged EBNF parser;GNU GPLv2;
