;BT MyDonate;Justgiving;Virgin Money Giving;PayPal;Localgiving;The Big Give;
Donation;£10.00;£10.00;£10.00;£10.00;£10.00;£10.00;
Tax reclaimed (Gift Aid);£2.50;£2.50;£2.50;£0.00 (Charities may reclaim directly with HMRC);£2.50;£2.50;
Commission;None;£0.625 (= 5% of 10 + 2.5);£0.20 (= 2% of 10);£0.14 (=1.4% of 10);£0.625 (= 5% of 10 + 2.5);£0.50;
Card processing fee;£0.15;£0.13;£0.16;£0.20;£0.20;£0.00;
Charity receives;£12.35;£11.75;£12.14;£9.66 (£12.16 including directly reclaimed Gift Aid);£11.68;£12.00;
