Native interoperability;Java;C#;
Cross-language interoperability;Yes (with GraalVM, Nashorn, CORBA, JNI or JNA)[88];Yes; C# was designed for it[88];
External/native methods;Yes;Yes;
Marshalling;External glue code needed;Yes; metadata controlled;
Pointers and arithmetics;Yes[89];Yes;
Native types;Yes[90];Yes;
Fixed-size buffers;No;Yes;
Explicit stack allocation;No;Yes;
Address-of;No;Yes;
Object pinning (fix variable to address);No;Yes;
