Model;Code Name;Release Date;Processors Supported;Fab (nm);HyperTransport (MHz);PCI-Express;SLI;PCI;USB;PATA;SATA;LAN;Sound;Features;Notes;
GeForce 6100 + nForce 400;MCP61;2006;Athlon 64 X2, Athlon 64, Sempron 64 Socket AM2, 939;90 nm;HT 1 GHz;1.0a 2 lanes;No;6 Ports;8 Ports Rev 2.0;1 Ports UDMA 133;2 Ports 3.0Gbit/s;100 Mbit/s;HDA;Onboard GeForce 6100;;
GeForce 6100 + nForce 405;MCP61;2006;Athlon 64 X2, Athlon 64, Sempron 64 Socket AM2, 939;HT 1 GHz;1.0a 10 lanes;No;6 Ports;8 Ports Rev 2.0;1 Ports UDMA 133;2 Ports 3.0Gbit/s;100 Mbit/s;HDA;Onboard GeForce 6100;;
GeForce 6150 + nForce 410;C51G + MCP51;2005;Athlon 64 X2, Athlon 64, Sempron 64 Socket AM2, 939, 754;HT 1 GHz (800 MHz s754);1.0a 18 lanes;No;6 Ports;8 Ports Rev 2.0;2 Ports UDMA 133;2 Ports 3.0Gbit/s;100 Mbit/s;HDA;Onboard GeForce 6150;;
GeForce 6150 + nForce 430;C51G + MCP51;2005;Athlon 64 X2, Athlon 64, Sempron 64 Socket AM2, 939;HT 1 GHz;1.0a 18 lanes;No;6 Ports;8 Ports Rev 2.0;2 Ports UDMA 133;4 Ports 3.0Gbit/s;1000 Mbit/s;HDA;Onboard GeForce 6150;;
