Dataset Name;Brief description;Preprocessing;Instances;Format;Default Task;Created (updated);Reference;Creator;
Zero Resource Speech Challenge 2015;Spontaneous speech (English), Read speech (Xitsonga).;raw wav;English: 5h, 12 speakers; Xitsonga: 2h30; 24 speakers;sound;Unsupervised discovery of speech features/subword units/word units;2015;[240][241]www.zerospeech.com/2015;Versteegh et al.;
Parkinson Speech Dataset;Multiple recordings of people with and without Parkinson's Disease.;Voice features extracted, disease scored by physician using unified Parkinson's disease rating scale;1,040;Text;Classification, regression;2013;[242][243];B. E. Sakar et al.;
Spoken Arabic Digits;Spoken Arabic digits from 44 male and 44 female.;Time-series of mel-frequency cepstrum coefficients.;8,800;Text;Classification;2010;[244][245];M. Bedda et al.;
ISOLET Dataset;Spoken letter names.;Features extracted from sounds.;7797;Text;Classification;1994;[246][247];R. Cole et al.;
Japanese Vowels Dataset;Nine male speakers uttered two Japanese vowels successively.;Applied 12-degree linear prediction analysis to it to obtain a discrete-time series with 12 cepstrum coefficients.;640;Text;Classification;1999;[248][249];M. Kudo et al.;
Parkinson's Telemonitoring Dataset;Multiple recordings of people with and without Parkinson's Disease.;Sound features extracted.;5875;Text;Classification;2009;[250][251];A. Tsanas et al.;
TIMIT;Recordings of 630 speakers of eight major dialects of American English, each reading ten phonetically rich sentences.;Speech is lexically and phonemically transcribed.;6300;Text;Speech recognition, classification.;1986;[252][253];J. Garofolo et al.;
Arabic Speech Corpus;A single-speaker, Modern Standard Arabic (MSA) speech corpus with phonetic and orthographic transcripts aligned to phoneme level;Speech is orthographically and phonetically transcribed with stress marks.;~1900;Text, WAV;Speech Synthesis, Speech Recognition, Corpus Alignment, Speech Therapy, Education.;2016;[254];N. Halabi;
Persian Consonant Vowel Combination (PCVC) Speech Dataset;Persian phonemes Speech Dataset.;raw mat: Speech samples with phoneme level exact label;Persian: 1794 (To be continued...);Speech sound samples;Speech phoneme and speaker classification;2018;[255];S.Malekzadeh et al.;
