;MicroDVD;MPEG-4 Timed Text;MPSub;SAMI;SubRip;(Advanced) SubStation Alpha;SubViewer;Universal Subtitle Format;VobSub;XSUB;
AVI;No;No;No;?;Yes, via third party modifications;Yes, via third party modifications;?;No;?;via DivX;
Matroska;Yes;No[45];Yes;Yes;Yes;Yes;Yes;Yes;Yes[46];Yes;
MP4;?;Yes;?;?;No[47];No;?;?;Yes;?;
MXF;?;?;?;?;?;?;?;?;?;?;
Ogg;No;?;?;?;Yes;?;?;?;?;?;
QuickTime;?;?;?;?;?;?;?;?;?;?;
