Web host;Storage size;Max. file size;Direct access[1 1];Traffic or bandwidth limit;File expiration[1 2];Remote uploading?;Developer API?;FTP upload possible?;File versioning;Follows symlinks;Client-side encryption[1];Free GB (number only);Misc. notes;
Amazon Drive[2];7000500000000000000?5 GB 3 mo. free trial, up to 30 TB paid;2 GB upload via Web, 50 GB per file via Drive app and third party clients [3];Yes;Amazon S3 limits;90 days after subscription expires, data is deleted.;No;Yes;No;No;?;?;5;Free 5GB plan only for China and Brazil.;
Amazon S3[4];7000500000000000000?5 GB 12-month free trial with credit-card, paid bandwidth, unlimited paid;7000500000000000000?5 GB per file, unlimited files per bucket;Yes;Amazon S3 limits;None, pay for storage each month;No;REST, SOAP;?;Yes;?;?;0;N/A;
Baidu Cloud;7000200000000000000?2 TB (6 GB free)[5];10 GB free, 20 GB paid [6];Yes;None;None;Yes;Yes;No;No;No;?;6;Currently in Chinese only;
Box[7][8];free trial, 100 GB paid (Starter), Unlimited Business, Unlimited Enterprise[9];250 MB free Personal, 5 GB paid Personal, 5 GB Business, 5 GB Enterprise[9];Paid account types only[10];10 GB/month free, 2 TB/month paid[11];None[citation needed];30 MB per file via IFTTT[12];Yes[13];Business and Enterprise customers only[14];Some (premium)[15];No;?;10;Does not sync Mac files such as iWork (Keynote etc.). Does not support Linux OS. 50 GB free with Sony Xperia or HP Spectre 13;
CloudMe[16];7000300000000000000?3 GB free, +500 MB for referrals up to 16 GB, 500 GB paid[17];7002150000000000000?150 MB free, Unlimited premium;No[18];None;None;No [19];REST, SOAP, WebDAV[20];No[21];Rarely (60 days)[22];?;?;3;Primarily focused on media files, synchronization and backup with web sharing.;
Dropbox[23];7000200000000000000?2 GB free, +500 MB for referrals up to 18 GB, 1 TB, 2 TB, or unlimited paid[24];7001100000000000000?10 GB, Unlimited using client application;File-by-file, not for HTML[25][26];20 GB/day free, 200 GB/day paid[27];1 year of account inactivity[28];No;Yes;No[29];30 days by default, 1 year w/ add-on[30];Yes;No;2;Synchronization, backup and websharing. Does support Linux OS 25 GB free with HTC Sense 4 & 5, 100 GB free with Samsung device;
Google Drive[31][32];7001150000000000000?15 GB free,[33] 7002100000000000000?100 GB to 7001300000000000000?30 TB paid;[34][35] Unlimited Storage for G Suite Business (1 TB per user if there are fewer than 5 users);7000500000000000000?5 TB[36];Manually, file-by-file[37][38];download: web client 750 MB/hour 1250 MB/day upload: 300 MB/hour 750 MB/day download from IMAP: 2500 MB download POP: 1250 MB Upload IMAP: 500 MB[39];None[citation needed];No;OAuth2;No;Yes[40];No;No;15;Additional space for limited time period with some devices and services.[41][42][43][44];
IBM Connections;7000500000000000000?5 GB, additional space paid;7000200000000000000?2 GB;Yes;None;None;No;CMIS, REST, Atom (standard) and OAuth2;No;Yes;?;?;5;Subscription costs US$6/year[45];
Apple iCloud[46];7000500000000000000?5 GB free, 7001500000000000000?50 GB to 7000200000000000000?2 TB paid;7001500000000000000?50 GB;Yes;200/400/600 GB per month;None;No;Yes;No;Partly;No;?;5;7001250000000000000?25 GB for previous MobileMe account subscriptions[47];
iTransfer iT[48];7000500000000000000?5 GB Free, 7002100000000000000?100 GB Premium;7001250000000000000?25 GB;Yes;None;1 Week FREE 1 Month  Premium;No;No;No;No;No;?;5;N/A;
