File system;Maximum filename length;Allowable characters in directory entries[c];Maximum pathname length;Maximum file size;Maximum volume size[d];Max number of files;
BeeGFS;255 bytes;Any byte except NUL[e];No limit defined[f];16 EiB;16 EiB;?;
CP/M file system;8.3;ASCII except for < > . , ; : = ? * [ ];No directory hierarchy (but accessibility of files depends on user areas via USER command since CP/M 2.2);32 MiB;512 MiB;?;
IBM SFS;8.8;?;?;Non-hierarchical[6];?;?;
DECtape;6.3;A–Z, 0–9;DTxN:FILNAM.EXT = 15;369,280 bytes (577 * 640);369,920 bytes (578 * 640);?;
Elektronika BK tape format;16 bytes;?;No directory hierarchy;64 KiB;Not limited. Approx. 800KB (one side) for 90 min cassette;?;
MicroDOS file system;14 bytes;?;?;16 MiB;32 MiB;?;
Level-D;6.3;A–Z, 0–9;DEVICE:FILNAM.EXT[PROJCT,PROGRM] = 7 + 10 + 15 = 32; + 5*7 for SFDs = 67;34,359,738,368 words (2**35-1); 206,158,430,208 SIXBIT bytes;Approx 12 GB (64 * 178 MB);?;
RT-11;6.3;A–Z, 0–9, $;0 (no directory hierarchy);33,554,432 bytes (65536 * 512);33,554,432 bytes;?;
Version 6 Unix file system (V6FS);14 bytes;Any byte except NUL and /[e];No limit defined[f];16 MiB[g];32 MiB;?;
Disk Operating System (GEC DOS);?;?;?;? at least 131,072 bytes;?;?;
GEC DOS filing system extended;8 bytes;A–Z, 0–9. Period was directory separator;? No limit defined (workaround for OS limit);? at least 131,072 bytes;?;?;
CBM DOS;16 bytes;Any byte except NUL;0 (no directory hierarchy);16 MiB;16 MiB;?;
Version 7 Unix file system (V7FS);14 bytes;Any byte except NUL or /[e];No limit defined[f];1 GiB[h];2 TiB;?;
exFAT;255 UTF-16 characters;?;32,760 Unicode characters with each path component no more than 255 characters[7];16 EiB[7];64 ZiB (276 bytes);?;
FAT (8-bit);6.3 (binary files) / 9 characters (ASCII files);ASCII (0x00 and 0xFF not allowed in first character);No directory hierarchy;?;?;?;
FAT12/FAT16;8.3 (255 UCS-2 characters with LFN)[i];SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, " * / : < > ? \ | [c][e];No limit defined[f];32 MiB (4 GiB)[j];1 MiB to 32 MiB;?;
FAT16B/FAT16X;8.3 (255 UCS-2 characters with LFN)[i];SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, " * / : < > ? \ | [c][i][e];No limit defined[f];2 (4) GiB[j];16 MiB to 2 (4) GiB;?;
FAT32/FAT32X;8.3 (255 UCS-2 characters with LFN)[i];SFN: OEM A-Z, 0-9, ! # $ % & ' ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN: Unicode except NUL, " * / : < > ? \ | [c][i][e];32,760 Unicode characters with each path component no more than 255 characters[7];4 GiB[7];512 MiB to 16 TiB[k];?;
FATX;42 bytes[i];ASCII. Unicode not permitted.;No limit defined[f];2 GiB;16 MiB to 2 GiB;?;
Fossil;?;?;?;?;?;?;
GEMDOS;8.3;A-Z, a-z, 0-9 ! @ # $ % ^ & ( ) + - = ~ ` ; ' " , < > | [ ] ( ) _[9];?;?;?;?;
APFS;255 UTF-8 characters;Unicode 9.0 encoded in UTF-8 [10];?;8 EiB;?;263 [11];
