Awards;
Publication;Award;
Amstrad Action;2nd best rated game in the history of the magazine[30];
Amiga Power;2nd best Amiga game of all time (1991)[37];
Mega;23rd best game of all time (1994)[38];
CGW;12th best game of all time (1996)[39];
Edge;82nd top game of all time (2007)[40];
Your Sinclair;20th top ZX Spectrum game of all time (1993, by readers)[41];
Wirtualna Polska;The best Amiga game of all time (2011)[42];
Next Generation;8th top game of all time (1996)[43];
