;Creator;Latest stable version;Release date;Software license;Open source;Programming language;Plugin support;
Appetizer;Laurent Cozic;1.4.6.494;February 13, 2010;GPL;Yes;C++, wxWidgets;Yes;
ASuite;SalvadorSoftware;1.5.1.2;May 24, 2008;GPL;Yes;Delphi;No;
Classic Shell;Ivo Beltchev;4.3.1;August 12, 2017;MIT;Yes;C++;Yes (via shell namespace extensions inside the menu);
LiberKey;Captel SARL;5.8.1129;November 30, 2015;Proprietary;No;?;No;
PortableApps.com Platform;Rare Ideas, LLC;15.0.2;May 17, 2018;GPL;Yes[note 1];Delphi;No;
SliderDock;Dimitri Roozendaal;1.21;October 11, 2010;Creative Commons;No;?;No;
