;Creator;Latest stable version;Release date;OS;Software license;Open source;Programming language;Plugin support;
9menu;Arnold Robbins;1.8;June 1, 2004;Linux;GPL;Yes;C;No;
Avant Window Navigator;Neil J. Patel;0.4.2 [1];November 27, 2013;Linux;GPL;Yes;C;Yes;
dmenu;dwm developers;4.5[2];December 19, 2011;Linux;MIT License;Yes;C;No;
GNOME Do;GNOME Do Developers;0.95.1[3];January 23, 2014;Linux;GPL;Yes;C Sharp;Yes;
Katapult;Katapult Developers;0.3.2.1;July 23, 2008;Linux with KDE;GPL;Yes;C++;Yes;
Unity Dash;Canonical Ltd.;7.3.0[4];June 19, 2014;Ubuntu;GPLv3;Yes;Vala;Yes ("lenses" and "scopes");
