Maker;Model;Intro year;Screen size (inch);Self-lit;Screen type;Dimensions (HxWxD);Weight;Screen pixels;Pixel density (in pixels per inch);Touch screen;Button for Page-turn;Wireless network;Text-to-speech;Folders;Internal storage;micro SDHC;Web browser;Library DRM compatible;USB Content Management;
Amazon.com;Kindle Oasis Wi-Fi/3G;2016;7 in;Yes;E Ink Carta;;194 g (6.8 oz) (no cover);1080 x 1430;300 ppi;2-Point;Yes, one side;Wi-Fi/CDMA, GSM;No;Yes;8 or 32 GB (8.0 GB);No;Yes;US only;No;
Amazon.com;Kindle Paperwhite (3rd generation) Wi-Fi/3G;2015;6 in;Yes;E Ink Carta;;207 g (7.3 oz);1080 x 1430;300 ppi;2-Point;No;Wi-Fi/CDMA, GSM;No;Yes;4 GB (3.25 GB);No;Yes;US only;No;
Amazon.com;Kindle Voyage;2014;6 in;Yes;E Ink Carta;;180 g (6.3 oz);1080 x 1430;300 ppi;2-Point;Sensors on both sides;Wi-Fi/CDMA, GSM;No;Yes;4 GB (3.25 GB);No;Yes;US only;No;
Amazon.com;Kindle (7th generation);2014;6 in;No;E Ink Pearl;;191 g (6.7 oz);600 × 800;167 ppi;Yes;No;Wi-Fi;No;Yes;4 GB (3.25 GB);No;Yes;US only;No;
Barnes & Noble;Nook Simple Touch with GlowLight;2012;6 in;Yes;E Ink Pearl;;212 g (7.5 oz);600 × 800;167 ppi;Yes;Yes;Wi-Fi;No;Yes;2 GB;Yes;Yes, hidden web browser;Yes;No;
Barnes & Noble;Nook GlowLight;2013;6 in;Yes;E Ink Pearl;;175 g (6.2 oz);758 × 1024;212 ppi;Yes;No;Wi-Fi;No;Yes;4 GB (2.5 GB usable) (512 MB for user content);No;Yes;Yes;Yes;
Barnes & Noble;Nook GlowLight Plus;2015;6 in;Yes;E Ink Carta;;195 g (6.9 oz);1080 × 1430;300 ppi;Yes;No;Wi-Fi;No;Yes;4 GB (2.5 GB usable) (512 MB for user content);No;Yes;Yes;Yes;
Barnes & Noble;Nook Glowlight 3;2017;6 in;Yes;E Ink Carta;;195 g (6.9 oz);1072 × 1448;300 ppi;Yes;Yes;Wi-Fi;No;Yes;8 GB (6.5 GB usable);No;Yes;Yes;Yes;
Bookeen;Cybook Odyssey HD FrontLight;2012;6 in;Yes;E Ink Pearl + HSIS;;212 g (7.5 oz);758 × 1024;212 ppi;Yes;;Wi-Fi (n);No;Yes;2 GB;Yes;Yes;Yes;No;
Bookeen;Cybook Odyssey;2013;6 in;No;E Ink Pearl + HSIS;;180 g (6.35 oz);600 × 800;167 ppi;Yes;Unknown;Wi-Fi (n);No;Yes;2 GB;Yes;Yes;Yes;No;
Bookeen;Cybook Orizon;2010;6 in;No;SiPix;;245 g (8.6 oz);600 × 800;167 ppi;Yes;Yes;Wi-Fi (n), Bluetooth 2.1+EDR;No;Yes;2 GB;Yes;Yes;Yes;No;
Bookeen;Cybook Muse HD;2016;6 in;Yes;E Ink Carta;;180 g (6.3 oz);1448 × 1072;300 ppi;Yes;Yes;Wi-Fi (b/g/n);No;Yes;8 GB;Yes;Yes;Yes;No;
Boyue;T62+;2015;6 in;Yes;E Ink Carta + front-light;;222 g (7.83 oz);758 × 1024;212 ppi;Yes;Yes;Wi-Fi (n);Yes*;Yes;8 GB;Yes;Yes;Yes;Yes;
bq;Movistar ebook;2011;6 in;No;AUO + SiPix;;244 g (8.6 oz);600 × 800;167 ppi;Yes;Unknown;Wi-Fi;Unknown;Unknown;2 GB;up to 16 GB;Yes;Yes;No;
