Engine;Origin;Designer;Vehicle;Use;Propellant;Specific impulse (s)[a];Thrust (N)[a];Mass (kg);Thrust/ weight ratio[b];Chamber pressure (bar);Oxidiser to Fuel Ratio;
Aestus; Europe;Airbus Defence and Space;Ariane 5 G, G+, ES;Upper;N2O4?/?MMH;7002324000000000000?324[1];7004300000000000000?30,000;7002111000000000000?111;7001276000000000000?27.6;7001110000000000000?11;1.9;
Aestus II; Europe;Airbus Defence and Space;Ariane 5;Upper;N2O4?/?MMH;7002340000000000000?340[2];7004554000000000000?55,400;7002138000000000000?138;7001410000000000000?41.0;7001600000000000000?60;1.9;
AJ-60A; USA;Aerojet;Atlas V;Booster;Solid;7002275000000000000?275;7006127000000000000?1,270,000[3];;;;;
AR1; USA;Aerojet Rocketdyne;Vulcan (potential);1st;RP-1?/?LOX;;7006220000000000000?2,200,000 (SL)[4];;;;2.72;
BE-3; USA;Blue Origin;New Glenn New Shepard;1st,2nd,3rd;LH2?/?LOX;;7005490000000000000?490,000;;;;;
BE-4; USA;Blue Origin;New Glenn Vulcan;1st;CH4?/?LOX;;7006240000000000000?2,400,000[5][6];;;7002134000000000000?134[7];;
Boeing 601HP[c]; USA;Boeing;Boeing 601HP satellites;Ion thruster;Xenon;7003256800000000000?2,568 @0.5 kW;6998180009999900000?0.018 @0.5 kW;;;;;
CE-20; India;LPSC;GSLV Mk III;Upper;LH2?/?LOX;7002443000000000000?443;7005200000000000000?200,000;7002588000000000000?588;;7001600000000000000?60.00;5.05;
CE-7.5; India;LPSC;GSLV Mk II;Upper;LH2?/?LOX;7002454000000000000?454[8];7004735000000000000?73,500 to 7004931000000000000?93,100;7002445000000000000?445;7001168500000000000?16.85;7001580000000000000?58;;
F-1[d]; USA;Rocketdyne;Saturn V;1st;RP-1?/?LOX;7002304000000000000?304 7002263000000000000?263 (SL);7006777000000000000?7,770,000 7006677000000000000?6,770,000 (SL);7003839100000000000?8,391;7001822700000000000?82.27;7001700000000000000?70;2.27;
F-1A[e][9]; USA;Rocketdyne;;1st;RP-1?/?LOX;7002303000000000000?303 7002270000000000000?270 (SL);7006898900000000000?8,989,000 7006800700000000000?8,007,000 (SL);7003901500000000000?9,015;7001906000000000000?90.6;7001800000000000000?80;2.27;
Gamma 2; United Kingdom;Bristol Siddeley;Black Arrow;2nd;RP-1?/?H2O2;7002265000000000000?265[10];7004682000000000000?68,200;7002173000000000000?173;7001402200000000000?40.22;;8;
Gamma 8; United Kingdom;Bristol Siddeley;Black Arrow;1st;RP-1?/?H2O2;7002265000000000000?265[11];7005234800000000000?234,800;7002342000000000000?342;7001700100000000000?70.01;7001474000000000000?47.40;8;
Hadley; USA;Ursa Major Technologies;GOLauncher 1[12];1st;RP-1?/?LOX;;7004222410000000000?22,241 (SL)[13];;;;;
HiPEP[f]; USA;NASA;Jupiter Icy Moons Orbiter;Ion thruster;Xenon;7003962000000000000?9,620 @39.3 kW;6999670000000000000?0.670 @39.3 kW;;;;;
HM-7A; Europe;Snecma;Ariane 1;3rd;LH2?/?LOX;7002443000000000000?443[14] 7002308000000000000?308 (SL);7004617000000000000?61,700;7002149000000000000?149;7001422000000000000?42.2;7001300000000000000?30;5;
HM-7B; Europe;Snecma;Ariane 2 Ariane 3 Ariane 4 Ariane 5 ECA;Upper;LH2?/?LOX;7002446000000000000?446[15] 7002310000000000000?310 (SL)[16];7004648000000000000?64,800[15] 7004436000000000000?43,600 (SL)[16];7002165000000000000?165[15];7001432500000000000?43.25;7001370000000000000?37[15];5;
J-2; USA;Rocketdyne;Saturn V Saturn IB;2nd, 3rd;LH2?/?LOX;7002421000000000000?421[17] 7002200000000000000?200 (SL);7006103310000000000?1,033,100 7005486200000000000?486,200 (SL);7003143800000000000?1,438;7001731800000000000?73.18;7001300000000000000?30;5.5;
J-2X; USA;Pratt & Whitney Rocketdyne;SLS;Upper;LH2?/?LOX;7002448000000000000?448[18];7006131000000000000?1,310,000;7003247000000000000?2,470;7001584100000000000?58.41;7001950000000000000?95;5.5-4.5;
LE-5; Japan;Mitsubishi NASDA;H-I;Upper;LH2?/?LOX;7002450000000000000?450[19];7005103000000000000?103,000;7002245000000000000?245;7001428709999900000?42.87;7001360000000000000?36.0;5.5;
LE-5A; Japan;Mitsubishi NASDA;H-II;Upper;LH2?/?LOX;7002452000000000000?452[20];7005121500000000000?121,500;7002242000000000000?242;7001511900000000000?51.19;7001400000000000000?40.0;5;
LE-5B; Japan;Mitsubishi JAXA;H-IIA H-IIB;Upper;LH2?/?LOX;7002447000000000000?447[21];7005137000000000000?137,000;7002269000000000000?269;7001519300000000000?51.93;7001360000000000000?36.0;5;
LE-7; Japan;Mitsubishi NASDA;H-II;1st;LH2?/?LOX;7002446000000000000?446[22];7006107800000000000?1,078,000 7005843500000000000?843,500 (SL);7003171400000000000?1,714;7001641290000000000?64.13;7002127000000000000?127;5.9;
LE-7A; Japan;Mitsubishi JAXA;H-IIA H-IIB;1st;LH2?/?LOX;7002438000000000000?438[23] 7002338000000000000?338 (SL)[23];7006109800000000000?1,098,000;7003180000000000000?1,800;7001622000000000000?62.2;7002121000000000000?121;5.9;
Lightning 1[24]; USA;Firefly Aerospace;Alpha;2nd;RP-1?/?LOX;7002322000000000000?322;7004701000000000000?70,100;;;;;
Merlin 1C; USA;SpaceX;Falcon 1 Falcon 9;1st,2nd;RP-1?/?LOX;7002304000000000000?304[25] 7002266000000000000?266 (SL)[26];7005480408000000000?480,408[25] 7005422581000000000?422,581 (SL)[25];7002630000000000000?630;7001920000000000000?92[25];7001677000000000000?67.7;;
Merlin 1D; USA;SpaceX;Falcon 9 v1.1;1st;RP-1?/?LOX;7002311000000000000?311[27] 7002282000000000000?282 (SL)[27];7005723000000000000?723,000[28];7002470000000000000?470[28];7002158000000000000?158[28];7001970000000000000?97;2.34;
Merlin 1D FT; USA;SpaceX;Falcon 9 FT Falcon Heavy;1st;RP-1?/?LOX;7002311000000000000?311[27] 7002282000000000000?282 (SL)[27];7005914000000000000?914,000[29] 7005845000000000000?845,000 (SL)[29];7002470000000000000?470[28];7002194500000000000?194.5[29];;;
Merlin Vacuum 1C; USA;SpaceX;Falcon 1 Falcon 9;2nd;RP-1?/?LOX;7002336000000000000?336[26];7005413644000000000?413,644[26];;7001920000000000000?92;;;
Merlin Vacuum 1D; USA;SpaceX;Falcon 9 Falcon Heavy;2nd;RP-1?/?LOX;7002348000000000000?348[30];7005934000000000000?934,000[30];;;;2.36;
Mira (LM10); Italy;Avio;Vega E[31];3rd[31];CH4/LOX[31];7002362300000000000?362.3 [31];7004981000000000000?98,100 [31];7002250000000000000?250 [31];7001400000000000000?40 [31];;7000340000000000000?3.4 [31];
NewtonThree; USA;Virgin Galactic;LauncherOne;Booster;RP-1?/?LOX;;7005266893000000000?266,893[32];;;;;
NewtonFour; USA;Virgin Galactic;LauncherOne;2nd;RP-1?/?LOX;;7004222410000000000?22,241[32];;;;;
NEXT; USA;NASA;;Ion thruster;Xenon;7003410000000000000?4,100 @6.9 kW;6999236000000000000?0.236 @6.9 kW;;;;;
NK-33A (AJ26-62) 11?111 / 14?15; Soviet Union;JSC Kuznetsov;Antares 100 Soyuz-2-1v;1st;RP-1?/?LOX;7002331000000000000?331[33];7006163800000000000?1,638,000;7003122200000000000?1,222;7002136800000000000?136.8;7002145000000000000?145;;
NSTAR[34][35][g]; USA;Hughes Electron Dynamics Boeing;Deep Space 1 Dawn;Ion thruster;Xenon;7003310000000000000?3,100 @2.3 kW;6998920000000000000?0.0920 @2.3 kW;7000820009999999999?8.2;;;;
