Grapheme;Danish;Norwegian;
;In stressed onset;Elsewhere (single);Elsewhere (double);In stressed onset;Elsewhere;
b;[b?];[b?, ??];[b?];[b];[b];
d;[d?];[ð?];[ð?];[d];[d];
g;[??];[-, ??, ??];[??];[?];[?];
k;[k?];[??];[??];[k?];[k];
p;[p?];[b?];[b?];[p?];[p];
r;[?];[??, -];;[r];[r];
t;[t?];[d?];[d?];[t?];[t];
v;[?];[??];[??];[?];[?];
