Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;Fillrate;Memory;
MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MiB);Bandwidth (GB/s);Bus type;Bus width (bit);
Radeon VE/7000;Feb 19, 2001;RV100 (piglet);180;AGP 4x, PCI;183;183;1:0:3:1;183;336;549;0;32, 64;2.688;DDR;64;
Radeon LE/7100 (OEM);May 1, 2001;Rage 6 / R100;180;AGP 4x;150;150;2:1:6:2;296;296;888;37.5;32;4.736;DDR;128;
Radeon SDR/7200;June 2000;Rage 6 / R100;180;AGP 4x, PCI;166;166;2:1:6:2;333;333;996;41.5;32;2.656;SDR;128;
Radeon DDR/7200;April 2000;Rage 6 / R100;180;AGP 4x;166/183A;166/183A;2:1:6:2;333/366A;333/366A;966/1098A;41.5/45.75A;32, 64;5.312/5.856A;DDR;128;
Radeon DDR/7500 VIVO;2001;Rage 6 / R100;180;AGP 4x, PCI;166/183B;166/183B;2:1:6:2;333/366B;333/366B;966/1098B;41.5/45.75B;64;5.312/5.856B;DDR;128;
Radeon DDR/7500 VIVO "SE";2001;Rage 6 / R100;180;AGP 4x, PCI;200;200;2:1:6:2;400;400;1200;50.0;64;6.400;DDR;128;
Radeon 7500 LE;N/A;RV200 (morpheus);150;AGP 4x, PCI;250;175;2:1:6:2;500;500;1500;62.5;32, 64;5.600;DDR;128;
Radeon 7500;Aug 14, 2001;RV200 (morpheus);150;AGP 4x, PCI;290;230;2:1:6:2;580;580;1740;72.5;32, 64, 128[14];7.360;DDR;128;
Model;Launch;Code name;Fab (nm);Bus interface;Core clock (MHz);Memory clock (MHz);Core config1;MOperations/s;MPixels/s;MTexels/s;MVertices/s;Size (MiB);Bandwidth (GB/s);Bus type;Bus width (bit);
Fillrate;Memory;
