Format;Languages;
LCase(string);VB;
lcase(string);FreeBASIC;
lc(string);Perl 5 / Perl 6;
string.lc;Perl 6;
tolower(char);C[19];
std.string.toLower(string);D;
transform(string.begin(), string.end(), result.begin(), ::tolower)[20];C++[21];
lowercase(string);Object Pascal (Delphi);
strtolower(string);PHP;
lower(string);Seed7;
echo "string" | tr 'A-Z' 'a-z';Unix;
string.lower();Python;
downcase(string);Pick Basic;
string.downcase;Ruby[22];
strings.ToLower(string);Go;
(string-downcase string);Scheme (R6RS), Common Lisp;
(lower-case string);Clojure;
String.lowercase string;OCaml;
String.map Char.toLower string;Standard ML;
map Char.toLower string;Haskell;
string.toLowerCase();Java, JavaScript;
to_lower(string);Erlang;
string.ToLower();VB .NET, C#, Windows PowerShell, F#;
string.lowercaseString;Objective-C (NSString * only), Swift (Foundation);
string.lower(string) (string):lower();Lua;
string asLowercase;Smalltalk;
LOWER(string);SQL;
lowercase(string);PL/I[6];
ToLowerCase[string];Mathematica;
«FUNCTION» LOWER-CASE(string);COBOL;
string.toLower;Cobra;
string tolower string;Tcl;
