;Trident;Gecko[g 99];WebKit;Presto;
loadstart;5.0[t 44];1.9.1;?;?;
progress;
suspend;1.9.2;
abort;1.9.1;
error;
emptied;
stalled;8.0[g 100];
play;1.9.1;
pause;
loadedmetadata;
loadeddata;
waiting;
playing;No;
canplay;1.9.1;
canplaythrough;
seeking;
seeked;
timeupdate;
ended;
ratechange;
durationchange;
volumechange;
