;2011[111];2012[112];2013[113];2014[114];2015[115];2016[116];2017[117];Total;
 China;19;19;15;16;19;22;18;128;
 India;3;2;4;5;5;7;5;31;
 Japan;3;2;3;4;4;4;7;27;
 Iran;1;3;1;-;1;-;1;7;
 North Korea;-;2;-;-;-;1;-;3;
 Israel;-;-;-;1;-;1;-;2;
 South Korea;-;-;1;-;-;-;-;1;
Total;26;28;24;26;29;35;31;
