Resort name and website;Nearest city;State/province;Peak elevation (ft);Base elevation (ft);Vertical drop (ft);Skiable acreage;Total trails;Total lifts;Avg annual snowfall (in);Adult single day lift ticket price (USD);Date statistics updated;
Big White Ski Resort [6];Kelowna;British Columbia;7,606;4,950;2,656;2,800;118;16;294;$76;November 19, 2010;
Silver Star Mountain Resort [7];Vernon;British Columbia;6,282;3,789;2,500;3,269;128;12;275;$81;April, 2015[40];
Whistler Blackcomb [8];Whistler;British Columbia;7,494;2,140;5,280;8,171;200;37;404;$93;December 23, 2017;
Steamboat Springs [9];Steamboat Springs;Colorado;10,568;6,900;3,668;2,956;165;16;349;$125;January 30, 2015;
Copper Mountain (Colorado) [10];Frisco;Colorado;12,313;9,712;2,601;2,450;126;22;282;$74;November 19, 2010;
Vail Ski Resort;Vail;Colorado;11,570;8,120;3,450;5,289;195;31;354;$190;December 23, 2017;
Beaver Creek;Avon;Colorado;11,440;8,100;3,340;1,832;150;24;195;$169;December 23, 2017;
Winter Park Resort;Winter Park;Colorado;12,060;9,000;3,060;3,000;143;25;365;$92;;
Saddleback Maine;Farmington;Maine;4,120;2,120;2,000;485;66;5;200;$40;;
Boyne Mountain;Boyne City;Michigan;1,120;620;500;41;60;10;140;$59;;
Mountain Creek;Vernon Township;New Jersey;1,480;440;1,040;200;41;8;65;$62;;
Blue Mountain;Collingwood;Ontario;1,483;741;742;250;34;15;109;$67;;
Mt Bachelor [11];Bend;Oregon;9,065;5,700;3,365;4,318;101;11;462;$92;January 31, 2017;
Mount Hood Meadows [12];Portland;Oregon;7,300;4,523;2,777;2,150;85;11;430;$57;;
Mont-Sainte-Anne;Beaupré;Quebec;2,625;575;2,050;450;65;13;187;$65;;
Mont Tremblant Resort;Mont Tremblant;Quebec;2,870;750;2,120;627;95;14;156;$70.35;;
Le Massif;Petite-Rivière-Saint-François;Quebec;2,645;118;2,527;410;48;4;248;$61;;
Brian Head;Brian Head;Utah;11,307;9,600;1,548;650;14;8;370;$40;;
Park City Mountain Resort[41];Park City;Utah;10,000;6,900;3,100;7,300;348;41;360;$145;December 23, 2017;
Deer Valley;Park City;Utah;9,570;6,570;3,000;2,026;100;21;280;$86;;
Brighton Ski Resort [13];Salt Lake City;Utah;10,500;8,755;1,745;1,500;66;6;500;$58;;
Alta Ski Area [14];Salt Lake City;Utah;10,550;8,530;2,020;2,200;116;10;560;$66;;
Snowbird [15];Salt Lake City;Utah;10,992;7,760;3,240;2,500;85;13;500;$72;;
Smuggler's Notch;Jeffersonville;Vermont;3,640;1,030;2,610;1,000;78;16;288;$66;;
Windham Mountain;Windham;New York;3,100;1,500;1,600;279;52;12;100[42];$75;February 14, 2014;
Hunter Mountain;Hunter;New York;3,200;1,600;1,600;240;58;10;120[43];$72;February 14, 2014;
Killington Ski Resort;Killington;Vermont;4,241;1,165;3,050;1,509;155;21;250;$77;;
Okemo Mountain;Ludlow;Vermont;3,344;1,144;2,200;632;119;19;200;$79;;
Stowe Mountain Resort;Stowe;Vermont;3,719;1,559;2,160;485;116;13;333;$89;;
Sugarbush Resort;Warren;Vermont;4,083;1,483;2,600;508;111;16;269;$82;;
Sugarloaf;Carrabassett Valley;Maine;4,237;1,417;2,820;1,153;154;14;200;$79;;
Snowshoe Mountain;Marlinton;West Virginia;4,848;3,348;1,500;244;60;14;180;$77;;
Sunshine Village [16];Banff;Alberta;8,954;5,440;3,514;3,358;107;12;360;$82;January 19, 2013;
Mt. Norquay [17];Banff;Alberta;8,040;5,500;1,650;190;28;5;120;$59;January 19, 2013;
Grouse Mountain [18];North Vancouver;British Columbia;4,039;899;1,198;212;26;5;120;$58;April 2, 2013;
Mount Seymour [19];North Vancouver;British Columbia;4,150;935;1,083;200;23;5;394;$51;April 2, 2013;
Cypress Mountain [20];West Vancouver;British Columbia;4,724;2,985;2,001;600;53;6;245;$60;April 2, 2013;
Stevens Pass [21];Stevens Pass;Washington;5,845;4,061;1,800;1,125;37;10;450;$65;July 8, 2013;
Sun Peaks Resort;Kamloops;British Columbia;6,824;3,930;2,894;4,270;135;12;237;$74;December 23, 2017;
Crystal Mountain;Enumclaw;Washington;7,012;3,912;3,100;2,600;57;12;350;$66[44];January 26, 2014;
Red Mountain Resort [22];Rossland [23];British Columbia;6807;3887;2919;2887;110;7;300;$79;October 31, 2014;
Mt Baker [24];Glacier;Washington;5089;3500;1589;1000;31;10;641;$58;December 5, 2015;
Whiteface Mountain;Lake Placid;New York;4,650;1,220;3,430;314;87;11;168[45];$92;February 16, 2016;
Powder Mountain;Eden;Utah;9442;6900;2205;2,800;167;9;500;$85;January 29, 2018;
Sugar Mountain Resort [25];Banner Elk;North Carolina;5,300;4,100;1,200;120;21;8;77;$74;May 5, 2018[46];
Beech Mountain Resort [26];Beech Mountain;North Carolina;5,506;4,675;831;95;17;8;84;$67;May 5, 2018[47];
Appalachian Ski Mountain [27];Blowing Rock;North Carolina;4,000;3,635;365;27;12;5;27;$62;May 5, 2018[48];
Cataloochee Ski Area [28];Maggie Valley;North Carolina;5,400;4,660;740;50;18;5;24;$67;May 5, 2018[49];
Sapphire Valley Ski Area [29];Sapphire;North Carolina;3,400;3,200;200;8;3;3;24;$63;May 5, 2018[50];
Wolf Ridge Ski Resort [30];Mars Hill;North Carolina;4,700;4,000;700;65;15;4;65;$56;May 5, 2018[51];
Aspen Highlands[52][53];Aspen;Colorado;11,678;8,040;3,638;1,010;144;5;300;$139;September 27, 2018;
Aspen Mountain[54][55];Aspen;Colorado;11,212;7,945;3,267;673;76;8;300;$139;September 27, 2018;
Buttermilk[56][57];Aspen;Colorado;9,900;7,870;2,030;435;44;8;200;$139;September 27, 2018;
Snowmass[58][59];Aspen;Colorado;12,510;8,104;4,406;3,362;96;17;300;$139;September 27, 2018;
