;Trident;Gecko;WebKit;KHTML;Presto;
Font styles;
b;<3.1[IE 4.0];1.0;Yes;Yes;1.0;
i;
big;
small;
tt;
Horizontal rules;
hr;<3.1[IE 4.0];1.0;Yes;Yes;1.0;
