Program;Operating systems;License;Protocols, based on, compatible with;Encryption;Other abilities;Key and target markets;Latest release;
3CX Phone System;Windows, Linux;Proprietary;SIP;TLS, SRTP;Voice and video IP telephony and conferencing, voice mail and instant messaging;< 50,000 users;15.5 ; June 7, 2017; 18 months ago (2017-06-07);
AS5300;Linux, Windows Server 2003;Proprietary;SIP, UNIStim, MLPP;SSL, TLS, SRTP, SDESC;Voice and Video IP telephony, Voice and Video conferencing, voice mail and instant messaging;1,000 - 25,000 users;1.0; January 2008; 10 years ago (2008-01);
AskoziaPBX;no additional OS required (Linux based);GPL, Open core;SIP, H.323, IAX, SCCP;No;ISDN, analog, Voicemail, Conferencing, MOH, ACD, IVR, Call forwarding, Call recording;SMEs up to 50 users;2.2.2; December 2012; 6 years ago (2012-12);
Asterisk PBX;Linux, BSD, macOS, Solaris;Mixed: GPL, Proprietary[67];SIP, H.323, IAX, MGCP, VOFR, XMPP, Google Talk, TDM;TLS, SRTP;VoIP Gateway, voicemail, basic accounting (can be expanded by interface with ODBC-compliant database), billing, conferencing, hot-desking, IVR trees with conditional logic, call queuing, automated call distribution;Enthusiasts, developers, enterprise users (capacity dependent on server design, scalable across multiple servers);16.1.0 (11 December 2018; 8 days ago (2018-12-11)[68]) [±] 15.7.0 (11 December 2018; 8 days ago (2018-12-11)[69]) [±] 13.24.0 (11 December 2018; 8 days ago (2018-12-11)[70]) [±];
Brekeke SIP Server;Linux, Windows;Proprietary;SIP;TLS, SRTP;SIP Registrar, SIP Proxy;SIP Service Providers, VoIP service providers, Healthcare, Security;3.8.3.4; February 2, 2018; 10 months ago (2018-02-02);
Brekeke PBX;Linux, Windows;Proprietary;SIP;TLS, SRTP;Voice and Video IP telephony, Voice and Video conferencing, and voice mail;Hosted service providers, Mid-large enterprise;3.8.4.4; April 18, 2018; 7 months ago (2018-04-18);
CallMax Softswitch;Linux;Proprietary;SIP, H.323;SSL, TLS, HTTPS;Integrated billing, IP PBX Platform, Calling card platform, Callshop module, Customer Web Portal, Retail SMS Platform.;SIP Service Providers, Residential & Business VoIP providers, Corporate Clients, Other Class 5 softswitch users;3.6; October 2015; 3 years ago (2015-10);
CommuniGate Pro;Linux, BSD, macOS, Windows, Solaris, HPUX, AIX;Proprietary;SIP, XIMSS Protocol, XMPP, WebRTC;SSL, TLS, SRTP;SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, many others;Carriers, enterprises, MNOs, ISPs, SaaS providers;6.1.11; June 2016; 2 years ago (2016-06);
Dial-Gate Softswitch PBX;Linux, Windows;Proprietary;SIP;TLS, SRTP;Billing server, real-time account and line monitoring, web-based user interface;Softswitch users, service providers;4.3; June 2014; 4 years ago (2014-06);
Dial-Office IP-PBX;Linux, Windows;Proprietary;SIP;TLS, SRTP;Unified Communications, Conferencing, remote worker support and voice mail;Small businesses, Mid-large enterprises;4.1; December 2013; 5 years ago (2013-12);
Elastix;Linux;GPL;SIP, IAX, H323, XMPP;TLS, SRTP;Unified communication server that also supports chat, mail and fax.;Capacity dependent on server design, scalable across multiple servers;2.5.0 (stable), 3.0.0 (stable), 4.0.0 (stable); February 10, 2016; 2 years ago (2016-02-10);
FreeSWITCH;Linux, BSD, macOS, Solaris, Windows;Mozilla Public License;SIP, NAT-PMP, STUN, SIMPLE, XMPP, Google Talk (Jingle), IAX, H.323, MRCP, RSS, Skype;TLS, SRTP, ZRTP;Recording, Voicemail, Conferencing, RADIUS, ENUM, IM Proxy, Streaming, Media gateway, Soft-PBX, IVR (modular);Large soft-switch users, home PBX users, softphone users;1.8.2 (September 28, 2018; 2 months ago (2018-09-28)) [±];
FreePBX;Linux, BSD, Solaris;GPL;SIP, IAX, H323, XMPP;TLS, SRTP;Complete PABX Service, based on Asterisk and PHP 5.6; provides a full replacement for a legacy non-VoIP phone system; under current and active development;Scales from Raspberry PI (3 users) to multiple parallel clusters (10K+ simultaneous calls);14.0; August 2017; 1 year ago (2017-08);
GNU Gatekeeper;Linux, FreeBSD, macOS, Windows XP-2000-Vista-7;GPL;H.323;H.235;H.460.18 firewall traversal, routing, accounting;video conferencing, VoIP carriers large and small;3.7; August 15, 2014; 4 years ago (2014-08-15);
HERO Hosted PBX;Linux, Windows;Proprietary;SIP;TLS, SRTP;Unified Communications, billing server, cloud-based management and web interface;Mid-large enterprises, VoIP carriers and service providers, telecom operators;4.3; December 2013; 5 years ago (2013-12);
Kerio Operator;Linux, VM;Proprietary;SIP;SSL, TLS, SRTP;integrated firewall, Auto attendant, Call queues, Conference calling, Call forwarding, pickup, parking, recording, Click to Call, Video calling, Fax support, Paging, Salesforce.com and CRM integration, Voicemail to email, complementary desktop Softphone app;SME;2.5.2; November 15, 2016; 2 years ago (2016-11-15);
MediaCore SBC;Linux;Proprietary;H.323, SIP, SMPP;SSL, TLS, HTTPS;Dynamic routing mechanism including LCR, Jurisdictional routing support, A-number based routing for EU-based providers), integrated billing, SIP-H.323 protocol converter, Transcoding - codec converter module, Guardian - revenue assurance module, SBC functionality, full and media proxy, Carrier SMS support;Transit VoIP services providers, VoIP wholesale carriers, VoIP termination providers, SMS carriers;4.6.1; May 2017; 1 year ago (2017-05);
Murmur;Linux, BSD, macOS, Windows;BSD, GPL;CELT, Speex, Opus;TLS;Chat with (limited) embedded HTML, ACLs for user management, Customizable In-Game Overlay, Directional Audio, Plugin Support, Nested Channels;Individuals to Small and medium enterprise (25-5000 users);1.2.17; September 24, 2016; 2 years ago (2016-09-24);
Mysipswitch;Linux;BSD;SIP, Ajax;SSL;SIP proxy server which allows the use of multiple SIP accounts with a single SIP login;Individuals;August 2007; 11 years ago (2007-08);
Objectworld UC Server;Windows XP-2003-2008;Proprietary;SIP;No;IP PBX, personal assistants, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange and Lotus Domino-Notes integration, conferencing, outbound dialing;Small and medium enterprise (25-2000 users);4.4.2; May 2009; 9 years ago (2009-05);
Kamailio, OpenSIPS (formerly named OpenSER);Linux, BSD, Solaris;GPL;SIP, XMPP;TLS, SRTP;SIP registrar-proxy, authentication, Diameter, RADIUS, ENUM, least-cost-routing, many others;SIP Service Providers;4.0.1 (25 April 2013; 5 years ago (2013-04-25)) [±];
pascom Phone System;Cloud, Linux and Unix variations, VMWare, Hardware, ISO;Mixed: Freeware / GPL / Proprietary[71];SIP, XMPP;TLS, SRTP, SRTP,Let's Encrypt, HTTPS;IP PBX, Business IP telephony and conferencing, softphone, Fixed mobile convergence, softphone, mobile VoIP app (Android & iOS), voicemail, unified messaging, IVR, automated phone provisioning, fax server, hot-desking, call queuing, automated call distribution, skills-based routing, Outlook, Office365 and Exchange integration;SMEs and larger enterprises (3- 1000+ users);pascom 18.02 ; November 7, 2018; 42 days ago (2018-11-07);
Pbxnsip;Linux, BSD, macOS, Windows;Proprietary;SIP;SRTP;IP PBX, presence indication, IVR, automated phone provisioning, fax server, unified messaging, Outlook, Exchange integration, conferencing, outbound dialing;Small and medium enterprise (25-256 users);3.3.1.3177; April 2009; 9 years ago (2009-04);
SIP Express Router (SER);Linux, BSD, Solaris;GPL;SIP;No;SIP Registrar/Proxy, Authentication, Diameter, RADIUS, ENUM, many others;SIP Service Providers;2.0.0 Ottendorf;
sipXecs IP PBX;Linux;AGPL;Native SIP call control, XMPP;TLS, SRTP;Full redundancy (HA), instant messaging, voicemail, user portal, admin GUI, plug & play management including phones and gateways, fully featured;Enterprises between 10 and 10,000 users, multi-site;14.04.2; July 2014; 4 years ago (2014-07);
vzRoom;Windows;Proprietary;SIP;SSL, TLS, AES;Instant messaging-chat, VoIP, video, sharing (desktop, video, file), whiteboard, scheduler, recording;Individual to small and medium enterprise (2-1,000 users);0.8.8.735; November 2010; 8 years ago (2010-11);
Yate;BSD, Linux, macOS, Windows;GPL;SIP, IAX, H.323, ISDN, XMPP (Jabber), Jingle (Google Talk), MGCP, SS7 over IP, Cisco SLT (Signalling Link Transport) (SS7 MTP2 backhaul over IP), SCTP, SCCP, TCAP, MAP CAMEL;SSL, TLS, SRTP;Voice, video, file transfer, data, H323 to SIP signalling proxy, instant messaging, IVR, PC2Phone and Phone2PC gateway, SCCP — GTT routing between networks, Secure Unified Communications, SIP registrar-proxy, SIP SBC (session border controller), USSD, voicemail, VoIP, VoIP to PSTN gateway, conference server (max 200 voice channels per conference), call centre server, prepaid and postpaid cards;Deployed on home servers and large networks with millions of users;5.5; May 2015; 3 years ago (2015-05);
